=== IGA Flyer Fetch — 2026-04-30 ===
Run started : 2026-04-30 13:48:14 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (1349 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['7907388', '7897401', '7911189']
  [409] IGA Stoneham-et-Tewkesbury → ['7907392', '7897401', '7911189']
  [2422] IGA La Coop de Shediac (Depanneur) → ['7907381', '7897399', '7911251']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['7907381', '7897399', '7911251']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['7907381', '7897399', '7911251']
  [2524] IGA HENRI LAFLAMME INC. → ['7907388', '7897401', '7911189']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['7907388', '7897401', '7911189']
  [5476] IGA Famille Julien inc. → ['7907388', '7897401', '7911189']
  [5598] IGA - Quebec inc. → ['7907388', '7897401', '7911189']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['7907388', '7897401', '7911189']
  [5869] IGA - Quebec Inc. → ['7907388', '7897401', '7911189']
  [5910] 9378-3702 Quebec inc. → ['7907388', '7897401', '7911189']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['7907388', '7897401', '7911189']
  [5925] IGA - Quebec inc. → ['7907388', '7897401', '7911189']
  [5940] IGA - Quebec Inc. → ['7907388', '7897401', '7911189']
  [6016] IGA Les Investissements St-David inc. → ['7907388', '7897401', '7911189']
  [6018] IGA - Quebec inc. → ['7907388', '7897401', '7911189']
  [6027] IGA express Des Sources → ['7907388', '7897401', '7911189']
  [6029] IGA express Gagné et fils → ['7907388', '7897401', '7911189']
  [6032] IGA - Quebec inc → ['7907388', '7897401', '7911189']
  [6035] IGA Depanneur CDL inc. → ['7907388', '7897401', '7911189']
  [6042] IGA Express Famille Piché → ['7907388', '7897401', '7911189']
  [6139] IGA Marche Lambert et Freres inc. → ['7907388', '7897401', '7911189']
  [6141] IGA Publicite Punch () inc. → ['7907388', '7897401', '7911189']
  [6484] IGA - Quebec inc. → ['7907388', '7897401', '7911189']
  [6485] IGA - Quebec inc. → ['7907388', '7897401', '7911189']
  [6882] IGA - Quebec Inc. → ['7907388', '7897401', '7911189']
  [6932] IGA des Sources Galeries Charlebourg → ['7907392', '7897401', '7911189']
  [6945] IGA express Les filles et associés → ['7907388', '7897401', '7911189']
  [7878] IGA Marché Clément des Forges inc. → ['7907394', '7897401', '7911189']
  [7906] IGA extra Les Marchés Emily et Philip → ['7907390', '7897401', '7911189']
  [7920] IGA Ernest Joly & Fils inc. → ['7907388', '7897401', '7911189']
  [7924] Groupe Epiciers Couture inc. → ['7907388', '7897401', '7911189']
  [7925] RB Complexe Desjardins → ['7907390', '7897401', '7911189']
  [8003] IGA Ronald Boucher & Fils inc. → ['7907388', '7897401', '7911189']
  [8004] IGA Alimentation Jean Martin inc. → ['7907394', '7897401', '7911189']
  [8007] IGA Marché Demers → ['7907388', '7897401', '7911189']
  [8008] IGA Marché Aliguy inc. → ['7907388', '7897401', '7911189']
  [8012] IGA Extra Chaumont et Bilodeau → ['7907394', '7897401', '7911189']
  [8013] IGA Marché Girard Terrebonne inc. → ['7907392', '7897401', '7911189']
  [8016] IGA Extra Couture → ['7907394', '7897401', '7911189']
  [8018] IGA Supermarché Mellon inc. → ['7907388', '7897401', '7911189']
  [8019] IGA Chibougamau → ['7907388', '7897401', '7911189']
  [8020] IGA Marche Famille Mondor inc → ['7907390', '7897401', '7911189']
  [8021] IGA Marché Lambert et frères inc. → ['7907394', '7897401', '7911189']
  [8022] IGA Ormstown → ['7907388', '7897401', '7911189']
  [8023] IGA ALIMENTATION CHRISTIAN ET GINETTE S → ['7907394', '7897401', '7911189']
  [8028] IGA Groupe Epicier Angus → ['7907388', '7897401', '7911189']
  [8031] IGA Extra Quebec Marche Lambert et freres inc. → ['7907394', '7897401', '7911189']
  [8032] IGA extra Vallée Candiac → ['7907392', '7897401', '7911189']
  [8033] IGA Supermarchés Jacques Daigle inc. → ['7907394', '7897401', '7911189']
  [8034] IGA Alimentation Raymond Rousseau inc. → ['7907392', '7897401', '7911189']
  [8035] IGA Marché Raynald Giguère inc. → ['7907392', '7897401', '7911189']
  [8041] IGA Alimentation Frédérik Martin Inc. → ['7907388', '7897401', '7911189']
  [8042] IGA Marché DesRosiers inc. → ['7907388', '7897401', '7911189']
  [8043] IGA Extra Lamoureux Saint-Eustache → ['7907394', '7897401', '7911189']
  [8046] IGA Alimentation Coaticook () inc. → ['7907388', '7897401', '7911189']
