=== IGA Flyer Fetch — 2026-05-28 ===
Run started : 2026-05-28 14:27:20 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (4830 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['7951081', '7945619', '7911212']
  [409] IGA Stoneham-et-Tewkesbury → ['7951085', '7945619', '7911212']
  [2422] IGA La Coop de Shediac (Depanneur) → ['7952536', '7945630', '7911259']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['7952536', '7945630', '7911259']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['7952536', '7945630', '7911259']
  [2524] IGA HENRI LAFLAMME INC. → ['7951081', '7945619', '7911212']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['7951081', '7945619', '7911212']
  [5476] IGA Famille Julien inc. → ['7951081', '7945619', '7911212']
  [5598] IGA - Quebec inc. → ['7951081', '7945619', '7911212']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['7951081', '7945619', '7911212']
  [5869] IGA - Quebec Inc. → ['7951081', '7945619', '7911212']
  [5910] 9378-3702 Quebec inc. → ['7951081', '7945619', '7911212']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['7951081', '7945619', '7911212']
  [5925] IGA - Quebec inc. → ['7951081', '7945619', '7911212']
  [5940] IGA - Quebec Inc. → ['7951081', '7945619', '7911212']
  [6016] IGA Les Investissements St-David inc. → ['7951081', '7945619', '7911212']
  [6018] IGA - Quebec inc. → ['7951081', '7945619', '7911212']
  [6027] IGA express Des Sources → ['7951081', '7945619', '7911212']
  [6029] IGA express Gagné et fils → ['7951081', '7945619', '7911212']
  [6032] IGA - Quebec inc → ['7951081', '7945619', '7911212']
  [6035] IGA Depanneur CDL inc. → ['7951081', '7945619', '7911212']
  [6042] IGA Express Famille Piché → ['7951081', '7945619', '7911212']
  [6139] IGA Marche Lambert et Freres inc. → ['7951081', '7945619', '7911212']
  [6141] IGA Publicite Punch () inc. → ['7951081', '7945619', '7911212']
  [6484] IGA - Quebec inc. → ['7951081', '7945619', '7911212']
  [6485] IGA - Quebec inc. → ['7951081', '7945619', '7911212']
  [6882] IGA - Quebec Inc. → ['7951081', '7945619', '7911212']
  [6932] IGA des Sources Galeries Charlebourg → ['7951085', '7945619', '7911212']
  [6945] IGA express Les filles et associés → ['7951081', '7945619', '7911212']
  [7878] IGA Marché Clément des Forges inc. → ['7951087', '7945619', '7911212']
  [7906] IGA extra Les Marchés Emily et Philip → ['7951083', '7945619', '7911212']
  [7920] IGA Ernest Joly & Fils inc. → ['7951081', '7945619', '7911212']
  [7924] Groupe Epiciers Couture inc. → ['7951081', '7945619', '7911212']
  [7925] RB Complexe Desjardins → ['7951083', '7945619', '7911212']
  [8003] IGA Ronald Boucher & Fils inc. → ['7951081', '7945619', '7911212']
  [8004] IGA Alimentation Jean Martin inc. → ['7951087', '7945619', '7911212']
  [8007] IGA Marché Demers → ['7951081', '7945619', '7911212']
  [8008] IGA Marché Aliguy inc. → ['7951081', '7945619', '7911212']
  [8012] IGA Extra Chaumont et Bilodeau → ['7951087', '7945619', '7911212']
  [8013] IGA Marché Girard Terrebonne inc. → ['7951085', '7945619', '7911212']
  [8016] IGA Extra Couture → ['7951087', '7945619', '7911212']
  [8018] IGA Supermarché Mellon inc. → ['7951081', '7945619', '7911212']
  [8019] IGA Chibougamau → ['7951081', '7945619', '7911212']
  [8020] IGA Marche Famille Mondor inc → ['7951083', '7945619', '7911212']
  [8021] IGA Marché Lambert et frères inc. → ['7951087', '7945619', '7911212']
  [8022] IGA Ormstown → ['7951081', '7945619', '7911212']
  [8023] IGA ALIMENTATION CHRISTIAN ET GINETTE S → ['7951087', '7945619', '7911212']
  [8028] IGA Groupe Epicier Angus → ['7951081', '7945619', '7911212']
  [8031] IGA Extra Quebec Marche Lambert et freres inc. → ['7951087', '7945619', '7911212']
  [8032] IGA extra Vallée Candiac → ['7951085', '7945619', '7911212']
  [8033] IGA Supermarchés Jacques Daigle inc. → ['7951087', '7945619', '7911212']
  [8034] IGA Alimentation Raymond Rousseau inc. → ['7951085', '7945619', '7911212']
  [8035] IGA Marché Raynald Giguère inc. → ['7951085', '7945619', '7911212']
  [8041] IGA Alimentation Frédérik Martin Inc. → ['7951081', '7945619', '7911212']
  [8042] IGA Marché DesRosiers inc. → ['7951081', '7945619', '7911212']
  [8043] IGA Extra Lamoureux Saint-Eustache → ['7951087', '7945619', '7911212']
  [8046] IGA Alimentation Coaticook () inc. → ['7951081', '7945619', '7911212']
  [8049] IGA Famille Guilbault → ['7951081', '7945619', '7911212']
  [8050] IGA Supermarché J.C. Bédard Ltée → ['7951085', '7945619', '7911212']
  [8052] IGA Alimentation Serge Vermette inc. → ['7951085', '7945619', '7911212']
  [8053] IGA Les Marchés Pepin inc. → ['7951087', '7945619', '7911212']
  [8054] IGA Roy → ['7951081', '7945619', '7911212']
  [8056] IGA Supermarché Pierre Patry Extra → ['7951081', '7945619', '7911212']
  [8057] IGA Beaumont → ['7951087', '7945619', '7911212']
  [8058] IGA Supermarché Crevier Notre-Dame → ['7951087', '7945619', '7911212']
  [8060] IGA Molson → ['7951085', '7945619', '7911212']
  [8064] IGA Famille Charles Cantley → ['7951085', '7945619', '7911212']
  [8065] IGA CookshireGestion Gilles Gene → ['7951081', '7945619', '7911212']
  [8070] IGA Extra marché Lambert → ['7951085', '7945619', '7911212']
  [8071] IGA Épicerie R. Cadieux et Fils inc. → ['7951085', '7945619', '7911212']
  [8073] IGA Marché IGA Lord de Lafontaine → ['7951085', '7945619', '7911212']
  [8077] IGA Marché Clément St-Charles Inc. → ['7951085', '7945619', '7911212']
  [8078] IGA Marché Emily Philip Desmarais inc. → ['7951087', '7945619', '7911212']
  [8081] IGA COOP Consommateurs de Lorette → ['7951085', '7945619', '7911212']
  [8092] IGA L.A. Daigneault et fils ltée → ['7951087', '7945619', '7911212']
  [8093] IGA Sobeys Capital inc. → ['7951085', '7945619', '7911212']
  [8096] IGA Marché Denis → ['7951085', '7945619', '7911212']
  [8111] IGA Alimentation Shnaidman Pagano → ['7951089', '7945619', '7911212']
  [8113] IGA Groupe Pro  Inc. → ['7951085', '7945619', '7911212']
  [8115] IGA Supermarché Clément Nicolet Inc. → ['7951081', '7945619', '7911212']
  [8123] IGA EXTRA Mascouche → ['7951087', '7945619', '7911212']
  [8137] IGA Les Marchés Pepin inc. → ['7951085', '7945619', '7911212']
  [8144] IGA Marché d'alimentation Crevier inc. → ['7951091', '7945619', '7911212']
  [8154] IGA La Seigneurie Blainville Inc. → ['7951085', '7945619', '7911212']
  [8162] IGA Supermarché Famille Rousseau S.B.D. → ['7951081', '7945619', '7911212']
  [8163] IGA Extra Gladu Douglas → ['7951085', '7945619', '7911212']
  [8164] IGA Gladu Saint-Luc → ['7951085', '7945619', '7911212']
  [8168] IGA extra Famille LacostePointe-aux-Trembles → ['7951089', '7945619', '7911212']
  [8175] IGA Extra Saint-Georges → ['7951081', '7945619', '7911212']
  [8176] IGA Saint-Joseph-de-Beauce → ['7951081', '7945619', '7911212']
  [8182] IGA Gestion Tremblay & Leboeuf inc. → ['7951081', '7945619', '7911212']
  [8183] IGA Marché M. Bouchard → ['7951085', '7945619', '7911212']
  [8186] Marché Famille Leblanc Forté et fils → ['7951085', '7945619', '7911212']
  [8187] IGA Marché du Faubourg Ste-Julie inc. → ['7951091', '7945619', '7911212']
  [8188] IGA Deschênes → ['7951085', '7945619', '7911212']
  [8189] RB Mont Saint Hilaire → ['7951083', '7945619', '7911212']
  [8190] IGA Marché Michel Lemieux inc. → ['7951085', '7945619', '7911212']
  [8191] IGA Supermarché Bergeron Inc → ['7951081', '7945619', '7911212']
  [8193] IGA Supermarché IGA extra Shawinigan → ['7951085', '7945619', '7911212']
  [8196] IGA Roger Rainville & Fils inc. → ['7951081', '7945619', '7911212']
  [8197] IGA Supermarché IGA Gagnon & Filles Inc → ['7951087', '7945619', '7911212']
  [8199] IGA Mercier Famille Reid-Boursier → ['7951087', '7945619', '7911212']
  [8200] IGA Supermarché Arcand () Inc. → ['7951081', '7945619', '7911212']
  [8202] IGA Sainte-Martine → ['7951081', '7945619', '7911212']
  [8203] IGA Supermarché Gilles Bariteau inc. → ['7951087', '7945619', '7911212']
  [8204] IGA Supermarché Pépin → ['7951087', '7945619', '7911212']
  [8207] IGA Marché d'alimentation Martin Lamarr → ['7951089', '7945619', '7911212']
  [8209] IGA Alimentation Yvon Haché → ['7951083', '7945619', '7911212']
  [8210] IGA Marché Louise Ménard inc. → ['7951085', '7945619', '7911212']
  [8212] IGA Marché Gazaille → ['7951087', '7945619', '7911212']
  [8213] IGA Marché de L’île-des Sœurs → ['7951085', '7945619', '7911212']
  [8214] IGA Marché Louise Ménard (Préville) Inc → ['7951087', '7945619', '7911212']
  [8217] IGA Marché Louise Ménard → ['7951087', '7945619', '7911212']
  [8219] IGA Marché Louise Ménard inc. (Place Du → ['7951085', '7945619', '7911212']
  [8222] IGA MARCHÉ MÉLANIE LE TRIANGLE → ['7951091', '7945619', '7911212']
  [8223] IGA Marché GouletGrenville → ['7951081', '7945619', '7911212']
  [8224] IGA Marché Au Chalet () inc. → ['7951085', '7945619', '7911212']
  [8225] IGA Marché Forgues → ['7951085', '7945619', '7911212']
  [8226] IGA Supermarché Picard inc. → ['7951091', '7945619', '7911212']
  [8228] IGA COOP IGA AMOS-OUEST → ['7951081', '7945619', '7911212']
  [8231] Abitibi-Témiscamingue → ['7951081', '7945619', '7911212']
  [8233] IGA Sobeys Capital inc. (Gr-Riviere) → ['7951081', '7945619', '7911212']
  [8234] IGA Poulin → ['7951085', '7945619', '7911212']
  [8236] IGA Coop de Ste-Foy (rue du Campanile) → ['7951085', '7945619', '7911212']
  [8238] IGA Marché Ouimette Fille et Fils Inc. → ['7951081', '7945619', '7911212']
  [8239] IGA Marché RaymondRivière Rouge → ['7951081', '7945619', '7911212']
  [8240] IGA Marche St-Canut inc. → ['7951087', '7945619', '7911212']
  [8247] IGA Marché Toppetta → ['7951085', '7945619', '7911212']
  [8248] IGA Marché Famille Viau inc. → ['7951087', '7945619', '7911212']
  [8250] IGA Marché Arbour-LeBlanc → ['7951081', '7945619', '7911212']
  [8253] IGA Atwater → ['7951085', '7945619', '7911212']
  [8254] IGA Supermarché IGA Raymond Martin inc. → ['7951087', '7945619', '7911212']
  [8255] IGA Coop C. Chandler → ['7951081', '7945619', '7911212']
  [8258] IGA Supermarché Clément Louiseville Inc → ['7951085', '7945619', '7911212']
  [8259] IGA Extra Magog Gazaille → ['7951087', '7945619', '7911212']
  [8262] IGA La Coopérative de Caraquet ltée → ['7952536', '7945630', '7911259']
  [8264] IGA S. Albert inc. → ['7951081', '7945619', '7911212']
  [8268] IGA - Quebec inc. → ['7951087', '7945619', '7911212']
  [8270] IGA Extra des-Rapides → ['7951087', '7945619', '7911212']
  [8273] IGA Famille Crégheur (La Pinière) inc. → ['7951087', '7945619', '7911212']
  [8274] IGA Beauceville → ['7951081', '7945619', '7911212']
  [8275] IGA Supermarché IGA St-Henri → ['7951081', '7945619', '7911212']
  [8278] IGA de Boischatel → ['7951087', '7945619', '7911212']
  [8283] IGA Marché du Faubourg Greenfield Park → ['7951091', '7945619', '7911212']
  [8284] IGA Magasin Coop IGA de Trois-Pistoles → ['7951081', '7945619', '7911212']
  [8288] IGA Cooperative des Cons. de Lorette → ['7951085', '7945619', '7911212']
  [8293] IGA Marché Famille Gadoua → ['7951087', '7945619', '7911212']
  [8295] IGA Marché Girard St-Augustin inc. → ['7951085', '7945619', '7911212']
  [8296] IGA Saint-Lin-Laurentides → ['7951085', '7945619', '7911212']
  [8299] IGA Quebec Magasin CO-OP St-Anselme → ['7951081', '7945619', '7911212']
  [8308] IGA des Sources Henri-Bourassa → ['7951085', '7945619', '7911212']
  [8311] IGA  Canada inc. → ['7951085', '7945619', '7911212']
  [8312] IGA Marché des Oiseaux inc. → ['7951087', '7945619', '7911212']
  [8313] IGA Extra → ['7951093', '7945619', '7911212']
  [8314] IGA AlimentationCoop Rimouski → ['7951083', '7945619', '7911212']
  [8315] IGA Marché Gagnon → ['7951081', '7945619', '7911212']
  [8316] IGA extra Vallée → ['7951087', '7945619', '7911212']
  [8317] IGA Extra Alimentation St-Onge → ['7951085', '7945619', '7911212']
  [8319] IGA Des Chenaux Famille Paquette → ['7951085', '7945619', '7911212']
  [8322] IGA Mont-Laurier → ['7951081', '7945619', '7911212']
  [8325] IGA Marché Veilleux inc. → ['7951085', '7945619', '7911212']
  [8327] IGA Alimentation Sogesco inc. → ['7951089', '7945619', '7911212']
  [8328] IGA - Quebec Inc. → ['7951091', '7945619', '7911212']
  [8330] IGA La Cooperative de Buctouche → ['7952536', '7945630', '7911259']
  [8331] IGA La Coop cons. de Dieppe ltee → ['7952536', '7945630', '7911259']
  [8332] IGA La Cooperative de Shediac Ltee → ['7952536', '7945630', '7911259']
  [8333] IGA Coop IGA Tracadie-Sheila → ['7952536', '7945630', '7911259']
  [8335] IGA Marche d'Alimentation Proulx inc. → ['7951085', '7945619', '7911212']
  [8340] IGA Marché IGA Shawinigan-Sud inc. → ['7951081', '7945619', '7911212']
  [8341] IGA Les Marchés Lambert et frères inc. → ['7951091', '7945619', '7911212']
  [8343] IGA Supermarche St-Hubert inc → ['7951081', '7945619', '7911212']
  [8344] IGA Marche Masson-Angers inc. → ['7951085', '7945619', '7911212']
  [8346] IGA Épicerie Quintal et Frères () inc. → ['7951085', '7945619', '7911212']
  [8348] IGA Marché d’alimentation Deziel inc. → ['7951085', '7945619', '7911212']
  [8349] IGA extra Marché Paquette → ['7951085', '7945619', '7911212']
  [8350] IGA Cooperative des Cons. de Sainte-Foy → ['7951089', '7945619', '7911212']
  [8352] IGA Famille Rick Déziel → ['7951085', '7945619', '7911212']
  [8353] IGA Famille Rick Déziel → ['7951087', '7945619', '7911212']
  [8357] IGA Farnham → ['7951085', '7945619', '7911212']
  [8358] IGA Boucherie des Sources Ste-Catherine → ['7951085', '7945619', '7911212']
  [8359] Sobeys Capital inc. (Campbellton) → ['7951081', '7945619', '7911212']
  [8360] IGA → ['7951085', '7945619', '7911212']
  [8363] IGA Alimentation Proulx Terrebonne Inc → ['7951085', '7945619', '7911212']
  [8364] IGA Hochelaga → ['7951085', '7945619', '7911212']
  [8365] IGA Mont-Joli → ['7951081', '7945619', '7911212']
  [8366] IGA Mche d'Alimentation Champagne inc. → ['7951085', '7945619', '7911212']
  [8367] IGA extra L'ile-Bizard Sevigny → ['7951085', '7945619', '7911212']
  [8368] IGA Extra Gladu → ['7951087', '7945619', '7911212']
  [8369] IGA Supermarché Jean XXIII → ['7951085', '7945619', '7911212']
  [8370] IGA Marché Lamontagne et fille → ['7951093', '7945619', '7911212']
  [8371] IGA Chelsea → ['7951085', '7945619', '7911212']
  [8373] IGA Marché Montée Gagnon inc. → ['7951085', '7945619', '7911212']
  [8374] IGA Marché St-Janvier → ['7951085', '7945619', '7911212']
  [8375] IGA Sobeys Capital inc. → ['7951081', '7945619', '7911212']
  [8376] IGA Alimentation  Patrice Tellier inc. → ['7951081', '7945619', '7911212']
  [8377] IGA extra Famille Déziel Vaudreuil-Dorion → ['7951087', '7945619', '7911212']
  [8378] IGA Marche Famille Vincent inc. → ['7951087', '7945619', '7911212']
  [8379] IGA Lac St-Charles → ['7951085', '7945619', '7911212']
  [8380] IGA extra Marché Gagné et Fille → ['7951087', '7945619', '7911212']
  [8383] IGA Alimentation Beaubien et fille inc. → ['7951085', '7945619', '7911212']
  [8388] IGA Ferme Neuve → ['7951081', '7945619', '7911212']
  [8389] IGA Extra Saint-Léonard → ['7951091', '7945619', '7911212']
  [8390] IGA Deux-Montagnes → ['7951085', '7945619', '7911212']
  [8393] IGA Val-d'Or Centre-Ville → ['7951081', '7945619', '7911212']
  [8395] IGA EXTRA POINTE-CLAIRE → ['7951091', '7945619', '7911212']
  [8396] IGA EXTRA Famille Patry Bromont → ['7951085', '7945619', '7911212']
  [8397] IGA Extra → ['7951087', '7945619', '7911212']
  [8464] IGA St-Lambert-de-Lauzon → ['7951087', '7945619', '7911212']
  [8468] IGA extra Rockland → ['7951087', '7945619', '7911212']
  [8476] IGA St-Joseph → ['7951085', '7945619', '7911212']
  [8481] IGA Alimentation Francis Gravel inc. → ['7951081', '7945619', '7911212']
  [8490] IGA Marche Landry -Tardif inc. → ['7951085', '7945619', '7911212']
  [8502] IGA Marché St-Pierre et Fils → ['7951085', '7945619', '7911212']
  [8503] IGA Magasin Co-Op de Plessisville (Prin → ['7951081', '7945619', '7911212']
  [8505] IGA Famille P. Crégheur → ['7951085', '7945619', '7911212']
  [8506] IGA Marché Vincent inc. → ['7951085', '7945619', '7911212']
  [8511] IGA Alimentation Coop Port-Cartier → ['7951081', '7945619', '7911212']
  [8520] IGA Extra des grives → ['7951091', '7945619', '7911212']
  [8522] IGA Van Horne → ['7951085', '7945619', '7911212']
  [8526] IGA extra Marché Gagné → ['7951081', '7945619', '7911212']
  [8527] IGA Supermarché Crevier inc. → ['7951085', '7945619', '7911212']
  [8528] IGA Supermarché Crevier (Lachenaie) inc → ['7951087', '7945619', '7911212']
  [8529] IGA Supermarché Crevier (Valmont) inc. → ['7951085', '7945619', '7911212']
  [8530] IGA Supermarché Crevier inc. → ['7951087', '7945619', '7911212']
  [8531] IGA - Quebec inc. → ['7951081', '7945619', '7911212']
  [8532] IGA Marche Lambert et Freres inc. → ['7951087', '7945619', '7911212']
