=== IGA Flyer Fetch — 2026-04-23 ===
Run started : 2026-04-23 13:46:09 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (811 publication entries)

Phase 1: fetching publications per store…

  [8183] IGA Marché M. Bouchard → ['7893757', '7887347']
  [8186] Marché Famille Leblanc Forté et fils → ['7893763', '7887347']
  [8187] IGA Marché du Faubourg Ste-Julie inc. → ['7893759', '7887347']
  [8188] IGA Deschênes → ['7893757', '7887347']
  [8189] RB Mont Saint Hilaire → ['7893755', '7887347']
  [8190] IGA Marché Michel Lemieux inc. → ['7893757', '7887347']
  [8191] IGA Supermarché Bergeron Inc → ['7893761', '7887347']
  [8193] IGA Supermarché IGA extra Shawinigan → ['7893757', '7887347']
  [8196] IGA Roger Rainville & Fils inc. → ['7893753', '7887347']
  [8197] IGA Supermarché IGA Gagnon & Filles Inc → ['7893771', '7887347']
  [8199] IGA Mercier Famille Reid-Boursier → ['7893759', '7887347']
  [8200] IGA Supermarché Arcand () Inc. → ['7893753', '7887347']
  [8202] IGA Sainte-Martine → ['7893753', '7887347']
  [8203] IGA Supermarché Gilles Bariteau inc. → ['7893759', '7887347']
  [8204] IGA Supermarché Pépin → ['7893759', '7887347']
  [8207] IGA Marché d'alimentation Martin Lamarr → ['7893757', '7887347']
  [8209] IGA Alimentation Yvon Haché → ['7893755', '7887347']
  [8210] IGA Marché Louise Ménard inc. → ['7893757', '7887347']
  [8212] IGA Marché Gazaille → ['7893759', '7887347']
  [8213] IGA Marché de L’île-des Sœurs → ['7893757', '7887347']
  [8214] IGA Marché Louise Ménard (Préville) Inc → ['7893759', '7887347']
  [8217] IGA Marché Louise Ménard → ['7893759', '7887347']
  [8219] IGA Marché Louise Ménard inc. (Place Du → ['7893757', '7887347']
  [8222] IGA MARCHÉ MÉLANIE LE TRIANGLE → ['7893759', '7887347']
  [8223] IGA Marché GouletGrenville → ['7893753', '7887347']
  [8224] IGA Marché Au Chalet () inc. → ['7893763', '7887347']
  [8225] IGA Marché Forgues → ['7893757', '7887347']
  [8226] IGA Supermarché Picard inc. → ['7893759', '7887347']
  [8228] IGA COOP IGA AMOS-OUEST → ['7893753', '7887347']
  [8231] Abitibi-Témiscamingue → ['7893753', '7887347']
  [8233] IGA Sobeys Capital inc. (Gr-Riviere) → ['7893753', '7887347']
  [8234] IGA Poulin → ['7893757', '7887347']
  [8236] IGA Coop de Ste-Foy (rue du Campanile) → ['7893757', '7887347']
  [8238] IGA Marché Ouimette Fille et Fils Inc. → ['7893753', '7887347']
  [8239] IGA Marché RaymondRivière Rouge → ['7893753', '7887347']
  [8240] IGA Marche St-Canut inc. → ['7893759', '7887347']
  [8247] IGA Marché Toppetta → ['7893757', '7887347']
  [8248] IGA Marché Famille Viau inc. → ['7893759', '7887347']
  [8250] IGA Marché Arbour-LeBlanc → ['7893753', '7887347']
  [8253] IGA Atwater → ['7893757', '7887347']
  [8254] IGA Supermarché IGA Raymond Martin inc. → ['7893759', '7887347']
  [8255] IGA Coop C. Chandler → ['7893753', '7887347']
  [8258] IGA Supermarché Clément Louiseville Inc → ['7893757', '7887347']
  [8259] IGA Extra Magog Gazaille → ['7893759', '7887347']
  [8262] IGA La Coopérative de Caraquet ltée → ['7893820', '7887351']
  [8264] IGA S. Albert inc. → ['7893753', '7887347']
  [8268] IGA - Quebec inc. → ['7893771', '7887347']
  [8270] IGA Extra des-Rapides → ['7893771', '7887347']
  [8273] IGA Famille Crégheur (La Pinière) inc. → ['7893759', '7887347']
  [8274] IGA Beauceville → ['7893753', '7887347']
  [8275] IGA Supermarché IGA St-Henri → ['7893753', '7887347']
  [8278] IGA de Boischatel → ['7893759', '7887347']
  [8283] IGA Marché du Faubourg Greenfield Park → ['7893759', '7887347']
  [8284] IGA Magasin Coop IGA de Trois-Pistoles → ['7893753', '7887347']
  [8288] IGA Cooperative des Cons. de Lorette → ['7893757', '7887347']
