=== IGA Flyer Fetch — 2026-05-21 ===
Run started : 2026-05-21 14:18:12 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (4026 publication entries)

Phase 1: fetching publications per store…

  [8123] IGA EXTRA Mascouche → ['7936661', '7931805', '7911198']
  [8137] IGA Les Marchés Pepin inc. → ['7936659', '7931805', '7911198']
  [8144] IGA Marché d'alimentation Crevier inc. → ['7936676', '7931805', '7911198']
  [8154] IGA La Seigneurie Blainville Inc. → ['7936659', '7931805', '7911198']
  [8162] IGA Supermarché Famille Rousseau S.B.D. → ['7936655', '7931805', '7911198']
  [8163] IGA Extra Gladu Douglas → ['7936659', '7931805', '7911198']
  [8164] IGA Gladu Saint-Luc → ['7936659', '7931805', '7911198']
  [8168] IGA extra Famille LacostePointe-aux-Trembles → ['7936674', '7931805', '7911198']
  [8175] IGA Extra Saint-Georges → ['7936655', '7931805', '7911198']
  [8176] IGA Saint-Joseph-de-Beauce → ['7936655', '7931805', '7911198']
  [8182] IGA Gestion Tremblay & Leboeuf inc. → ['7936655', '7931805', '7911198']
  [8183] IGA Marché M. Bouchard → ['7936659', '7931805', '7911198']
  [8186] Marché Famille Leblanc Forté et fils → ['7936659', '7931805', '7911198']
  [8187] IGA Marché du Faubourg Ste-Julie inc. → ['7936676', '7931805', '7911198']
  [8188] IGA Deschênes → ['7936659', '7931805', '7911198']
  [8189] RB Mont Saint Hilaire → ['7936657', '7931805', '7911198']
  [8190] IGA Marché Michel Lemieux inc. → ['7936659', '7931805', '7911198']
  [8191] IGA Supermarché Bergeron Inc → ['7936655', '7931805', '7911198']
  [8193] IGA Supermarché IGA extra Shawinigan → ['7936659', '7931805', '7911198']
  [8196] IGA Roger Rainville & Fils inc. → ['7936655', '7931805', '7911198']
  [8197] IGA Supermarché IGA Gagnon & Filles Inc → ['7936661', '7931805', '7911198']
  [8199] IGA Mercier Famille Reid-Boursier → ['7936661', '7931805', '7911198']
  [8200] IGA Supermarché Arcand () Inc. → ['7936655', '7931805', '7911198']
  [8202] IGA Sainte-Martine → ['7936655', '7931805', '7911198']
  [8203] IGA Supermarché Gilles Bariteau inc. → ['7936661', '7931805', '7911198']
  [8204] IGA Supermarché Pépin → ['7936661', '7931805', '7911198']
  [8207] IGA Marché d'alimentation Martin Lamarr → ['7936674', '7931805', '7911198']
  [8209] IGA Alimentation Yvon Haché → ['7936657', '7931805', '7911198']
  [8210] IGA Marché Louise Ménard inc. → ['7936659', '7931805', '7911198']
  [8212] IGA Marché Gazaille → ['7936661', '7931805', '7911198']
  [8213] IGA Marché de L’île-des Sœurs → ['7936659', '7931805', '7911198']
  [8214] IGA Marché Louise Ménard (Préville) Inc → ['7936661', '7931805', '7911198']
  [8217] IGA Marché Louise Ménard → ['7936661', '7931805', '7911198']
  [8219] IGA Marché Louise Ménard inc. (Place Du → ['7936659', '7931805', '7911198']
  [8222] IGA MARCHÉ MÉLANIE LE TRIANGLE → ['7936676', '7931805', '7911198']
  [8223] IGA Marché GouletGrenville → ['7936655', '7931805', '7911198']
  [8224] IGA Marché Au Chalet () inc. → ['7936659', '7931805', '7911198']
  [8225] IGA Marché Forgues → ['7936659', '7931805', '7911198']
  [8226] IGA Supermarché Picard inc. → ['7936676', '7931805', '7911198']
  [8228] IGA COOP IGA AMOS-OUEST → ['7936655', '7931805', '7911198']
  [8231] Abitibi-Témiscamingue → ['7936655', '7931805', '7911198']
  [8233] IGA Sobeys Capital inc. (Gr-Riviere) → ['7936655', '7931805', '7911198']
  [8234] IGA Poulin → ['7936659', '7931805', '7911198']
  [8236] IGA Coop de Ste-Foy (rue du Campanile) → ['7936659', '7931805', '7911198']
  [8238] IGA Marché Ouimette Fille et Fils Inc. → ['7936655', '7931805', '7911198']
  [8239] IGA Marché RaymondRivière Rouge → ['7936655', '7931805', '7911198']
  [8240] IGA Marche St-Canut inc. → ['7936661', '7931805', '7911198']
  [8247] IGA Marché Toppetta → ['7936659', '7931805', '7911198']
  [8248] IGA Marché Famille Viau inc. → ['7936661', '7931805', '7911198']
  [8250] IGA Marché Arbour-LeBlanc → ['7936655', '7931805', '7911198']
  [8253] IGA Atwater → ['7936659', '7931805', '7911198']
  [8254] IGA Supermarché IGA Raymond Martin inc. → ['7936661', '7931805', '7911198']
  [8255] IGA Coop C. Chandler → ['7936655', '7931805', '7911198']
  [8258] IGA Supermarché Clément Louiseville Inc → ['7936659', '7931805', '7911198']
  [8259] IGA Extra Magog Gazaille → ['7936661', '7931805', '7911198']
  [8262] IGA La Coopérative de Caraquet ltée → ['7935425', '7931808', '7911257']
  [8264] IGA S. Albert inc. → ['7936655', '7931805', '7911198']
  [8268] IGA - Quebec inc. → ['7936661', '7931805', '7911198']
  [8270] IGA Extra des-Rapides → ['7936661', '7931805', '7911198']
  [8273] IGA Famille Crégheur (La Pinière) inc. → ['7936661', '7931805', '7911198']
  [8274] IGA Beauceville → ['7936655', '7931805', '7911198']
  [8275] IGA Supermarché IGA St-Henri → ['7936655', '7931805', '7911198']
  [8278] IGA de Boischatel → ['7936661', '7931805', '7911198']
  [8283] IGA Marché du Faubourg Greenfield Park → ['7936676', '7931805', '7911198']
  [8284] IGA Magasin Coop IGA de Trois-Pistoles → ['7936655', '7931805', '7911198']
  [8288] IGA Cooperative des Cons. de Lorette → ['7936659', '7931805', '7911198']
  [8293] IGA Marché Famille Gadoua → ['7936661', '7931805', '7911198']
  [8295] IGA Marché Girard St-Augustin inc. → ['7936659', '7931805', '7911198']
  [8296] IGA Saint-Lin-Laurentides → ['7936659', '7931805', '7911198']
  [8299] IGA Quebec Magasin CO-OP St-Anselme → ['7936655', '7931805', '7911198']
  [8308] IGA des Sources Henri-Bourassa → ['7936659', '7931805', '7911198']
  [8311] IGA  Canada inc. → ['7936659', '7931805', '7911198']
  [8312] IGA Marché des Oiseaux inc. → ['7936661', '7931805', '7911198']
  [8313] IGA Extra → ['7936670', '7931805', '7911198']
  [8314] IGA AlimentationCoop Rimouski → ['7936657', '7931805', '7911198']
  [8315] IGA Marché Gagnon → ['7936655', '7931805', '7911198']
  [8316] IGA extra Vallée → ['7936661', '7931805', '7911198']
  [8317] IGA Extra Alimentation St-Onge → ['7936659', '7931805', '7911198']
  [8319] IGA Des Chenaux Famille Paquette → ['7936659', '7931805', '7911198']
  [8322] IGA Mont-Laurier → ['7936655', '7931805', '7911198']
  [8325] IGA Marché Veilleux inc. → ['7936659', '7931805', '7911198']
  [8327] IGA Alimentation Sogesco inc. → ['7936674', '7931805', '7911198']
  [8328] IGA - Quebec Inc. → ['7936676', '7931805', '7911198']
  [8330] IGA La Cooperative de Buctouche → ['7935425', '7931808', '7911257']
  [8331] IGA La Coop cons. de Dieppe ltee → ['7935425', '7931808', '7911257']
  [8332] IGA La Cooperative de Shediac Ltee → ['7935425', '7931808', '7911257']
  [8333] IGA Coop IGA Tracadie-Sheila → ['7935425', '7931808', '7911257']
  [8335] IGA Marche d'Alimentation Proulx inc. → ['7936659', '7931805', '7911198']
  [8340] IGA Marché IGA Shawinigan-Sud inc. → ['7936655', '7931805', '7911198']
  [8341] IGA Les Marchés Lambert et frères inc. → ['7936676', '7931805', '7911198']
  [8343] IGA Supermarche St-Hubert inc → ['7936655', '7931805', '7911198']
  [8344] IGA Marche Masson-Angers inc. → ['7936659', '7931805', '7911198']
  [8346] IGA Épicerie Quintal et Frères () inc. → ['7936659', '7931805', '7911198']
  [8348] IGA Marché d’alimentation Deziel inc. → ['7936659', '7931805', '7911198']
  [8349] IGA extra Marché Paquette → ['7936659', '7931805', '7911198']
