=== IGA Flyer Fetch — 2026-05-14 ===
Run started : 2026-05-14 13:46:34 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (2956 publication entries)

Phase 1: fetching publications per store…

  [8077] IGA Marché Clément St-Charles Inc. → ['7926562', '7921346', '7921464', '7911193']
  [8078] IGA Marché Emily Philip Desmarais inc. → ['7926564', '7921346', '7921464', '7911193']
  [8081] IGA COOP Consommateurs de Lorette → ['7926562', '7921346', '7921464', '7911193']
  [8092] IGA L.A. Daigneault et fils ltée → ['7926564', '7921346', '7921464', '7911193']
  [8093] IGA Sobeys Capital inc. → ['7926562', '7921346', '7921464', '7911193']
  [8096] IGA Marché Denis → ['7926562', '7921346', '7921464', '7911193']
  [8111] IGA Alimentation Shnaidman Pagano → ['7926574', '7921346', '7921464', '7911193']
  [8113] IGA Groupe Pro  Inc. → ['7926562', '7921346', '7921464', '7911193']
  [8115] IGA Supermarché Clément Nicolet Inc. → ['7926558', '7921346', '7921464', '7911193']
  [8123] IGA EXTRA Mascouche → ['7926564', '7921346', '7921464', '7911193']
  [8137] IGA Les Marchés Pepin inc. → ['7926562', '7921346', '7921464', '7911193']
  [8144] IGA Marché d'alimentation Crevier inc. → ['7926578', '7921346', '7921464', '7911193']
  [8154] IGA La Seigneurie Blainville Inc. → ['7926562', '7921346', '7921464', '7911193']
  [8162] IGA Supermarché Famille Rousseau S.B.D. → ['7926558', '7921346', '7921464', '7911193']
  [8163] IGA Extra Gladu Douglas → ['7926562', '7921346', '7921464', '7911193']
  [8164] IGA Gladu Saint-Luc → ['7926562', '7921346', '7921464', '7911193']
  [8168] IGA extra Famille LacostePointe-aux-Trembles → ['7926574', '7921346', '7921464', '7911193']
  [8175] IGA Extra Saint-Georges → ['7926558', '7921346', '7921464', '7911193']
  [8176] IGA Saint-Joseph-de-Beauce → ['7926558', '7921346', '7921464', '7911193']
  [8182] IGA Gestion Tremblay & Leboeuf inc. → ['7926558', '7921346', '7921464', '7911193']
  [8183] IGA Marché M. Bouchard → ['7926562', '7921346', '7921464', '7911193']
  [8186] Marché Famille Leblanc Forté et fils → ['7926562', '7921346', '7921464', '7911193']
  [8187] IGA Marché du Faubourg Ste-Julie inc. → ['7926576', '7921346', '7921464', '7911193']
  [8188] IGA Deschênes → ['7926562', '7921346', '7921464', '7911193']
  [8189] RB Mont Saint Hilaire → ['7926560', '7921346', '7921464', '7911193']
  [8190] IGA Marché Michel Lemieux inc. → ['7926562', '7921346', '7921464', '7911193']
  [8191] IGA Supermarché Bergeron Inc → ['7926558', '7921346', '7921464', '7911193']
  [8193] IGA Supermarché IGA extra Shawinigan → ['7926562', '7921346', '7921464', '7911193']
  [8196] IGA Roger Rainville & Fils inc. → ['7926558', '7921346', '7921464', '7911193']
  [8197] IGA Supermarché IGA Gagnon & Filles Inc → ['7926568', '7921346', '7921464', '7911193']
  [8199] IGA Mercier Famille Reid-Boursier → ['7926564', '7921346', '7921464', '7911193']
  [8200] IGA Supermarché Arcand () Inc. → ['7926558', '7921346', '7921464', '7911193']
  [8202] IGA Sainte-Martine → ['7926558', '7921346', '7921464', '7911193']
  [8203] IGA Supermarché Gilles Bariteau inc. → ['7926564', '7921346', '7921464', '7911193']
  [8204] IGA Supermarché Pépin → ['7926564', '7921346', '7921464', '7911193']
  [8207] IGA Marché d'alimentation Martin Lamarr → ['7926574', '7921346', '7921464', '7911193']
  [8209] IGA Alimentation Yvon Haché → ['7926560', '7921346', '7921464', '7911193']
