=== IGA Flyer Fetch — 2026-06-11 ===
Run started : 2026-06-11 14:31:14 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (6170 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['7975760', '7972009']
  [409] IGA Stoneham-et-Tewkesbury → ['7975764', '7972009']
  [2422] IGA La Coop de Shediac (Depanneur) → ['7977604', '7972011']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['7977604', '7972011']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['7977604', '7972011']
  [2524] IGA HENRI LAFLAMME INC. → ['7975760', '7972009']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['7975760', '7972009']
  [5476] IGA Famille Julien inc. → ['7975760', '7972009']
  [5598] IGA - Quebec inc. → ['7975760', '7972009']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['7975760', '7972009']
  [5869] IGA - Quebec Inc. → ['7975760', '7972009']
  [5910] 9378-3702 Quebec inc. → ['7975760', '7972009']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['7975760', '7972009']
  [5925] IGA - Quebec inc. → ['7975760', '7972009']
  [5940] IGA - Quebec Inc. → ['7975760', '7972009']
  [6016] IGA Les Investissements St-David inc. → ['7975760', '7972009']
  [6018] IGA - Quebec inc. → ['7975760', '7972009']
  [6027] IGA express Des Sources → ['7975760', '7972009']
  [6029] IGA express Gagné et fils → ['7975760', '7972009']
  [6032] IGA - Quebec inc → ['7975760', '7972009']
  [6035] IGA Depanneur CDL inc. → ['7975760', '7972009']
  [6042] IGA Express Famille Piché → ['7975760', '7972009']
  [6139] IGA Marche Lambert et Freres inc. → ['7975760', '7972009']
  [6141] IGA Publicite Punch () inc. → ['7975760', '7972009']
  [6484] IGA - Quebec inc. → ['7975760', '7972009']
  [6485] IGA - Quebec inc. → ['7975760', '7972009']
  [6882] IGA - Quebec Inc. → ['7975760', '7972009']
  [6932] IGA des Sources Galeries Charlebourg → ['7975764', '7972009']
  [6945] IGA express Les filles et associés → ['7975760', '7972009']
  [7878] IGA Marché Clément des Forges inc. → ['7975766', '7972009']
  [7906] IGA extra Les Marchés Emily et Philip → ['7975762', '7972009']
  [7920] IGA Ernest Joly & Fils inc. → ['7975760', '7972009']
  [7924] Groupe Epiciers Couture inc. → ['7975760', '7972009']
  [7925] RB Complexe Desjardins → ['7975762', '7972009']
  [8003] IGA Ronald Boucher & Fils inc. → ['7975760', '7972009']
  [8004] IGA Alimentation Jean Martin inc. → ['7975766', '7972009']
  [8007] IGA Marché Demers → ['7975760', '7972009']
  [8008] IGA Marché Aliguy inc. → ['7975760', '7972009']
  [8012] IGA Extra Chaumont et Bilodeau → ['7975766', '7972009']
  [8013] IGA Marché Girard Terrebonne inc. → ['7975764', '7972009']
  [8016] IGA Extra Couture → ['7975766', '7972009']
  [8018] IGA Supermarché Mellon inc. → ['7975760', '7972009']
  [8019] IGA Chibougamau → ['7975760', '7972009']
  [8020] IGA Marche Famille Mondor inc → ['7975762', '7972009']
  [8021] IGA Marché Lambert et frères inc. → ['7975766', '7972009']
  [8022] IGA Ormstown → ['7975760', '7972009']
  [8023] IGA ALIMENTATION CHRISTIAN ET GINETTE S → ['7975766', '7972009']
  [8028] IGA Groupe Epicier Angus → ['7975760', '7972009']
  [8031] IGA Extra Quebec Marche Lambert et freres inc. → ['7975766', '7972009']
  [8032] IGA extra Vallée Candiac → ['7975764', '7972009']
  [8033] IGA Supermarchés Jacques Daigle inc. → ['7975766', '7972009']
  [8034] IGA Alimentation Raymond Rousseau inc. → ['7975764', '7972009']
  [8035] IGA Marché Raynald Giguère inc. → ['7975764', '7972009']
  [8041] IGA Alimentation Frédérik Martin Inc. → ['7975760', '7972009']
  [8042] IGA Marché DesRosiers inc. → no new flyers
  [8043] IGA Extra Lamoureux Saint-Eustache → ['7975766', '7972009']
  [8046] IGA Alimentation Coaticook () inc. → ['7975760', '7972009']
  [8049] IGA Famille Guilbault → ['7975760', '7972009']
  [8050] IGA Supermarché J.C. Bédard Ltée → ['7975764', '7972009']
  [8052] IGA Alimentation Serge Vermette inc. → ['7975764', '7972009']
  [8053] IGA Les Marchés Pepin inc. → ['7975766', '7972009']
  [8054] IGA Roy → ['7975760', '7972009']
  [8056] IGA Supermarché Pierre Patry Extra → ['7975760', '7972009']
  [8057] IGA Beaumont → ['7975766', '7972009']
  [8058] IGA Supermarché Crevier Notre-Dame → ['7975766', '7972009']
  [8060] IGA Molson → ['7975764', '7972009']
  [8064] IGA Famille Charles Cantley → ['7975764', '7972009']
  [8065] IGA CookshireGestion Gilles Gene → ['7975760', '7972009']
  [8070] IGA Extra marché Lambert → ['7975764', '7972009']
  [8071] IGA Épicerie R. Cadieux et Fils inc. → ['7975764', '7972009']
  [8073] IGA Marché IGA Lord de Lafontaine → ['7975764', '7972009']
  [8077] IGA Marché Clément St-Charles Inc. → ['7975764', '7972009']
  [8078] IGA Marché Emily Philip Desmarais inc. → ['7975766', '7972009']
  [8081] IGA COOP Consommateurs de Lorette → ['7975764', '7972009']
  [8092] IGA L.A. Daigneault et fils ltée → ['7975766', '7972009']
  [8093] IGA Sobeys Capital inc. → ['7975764', '7972009']
  [8096] IGA Marché Denis → ['7975764', '7972009']
  [8111] IGA Alimentation Shnaidman Pagano → ['7975764', '7972009']
  [8113] IGA Groupe Pro  Inc. → ['7975764', '7972009']
  [8115] IGA Supermarché Clément Nicolet Inc. → ['7975760', '7972009']
  [8123] IGA EXTRA Mascouche → ['7975766', '7972009']
  [8137] IGA Les Marchés Pepin inc. → ['7975764', '7972009']
  [8144] IGA Marché d'alimentation Crevier inc. → ['7975772', '7972009']
  [8154] IGA La Seigneurie Blainville Inc. → ['7975764', '7972009']
  [8162] IGA Supermarché Famille Rousseau S.B.D. → ['7975760', '7972009']
  [8163] IGA Extra Gladu Douglas → ['7975764', '7972009']
  [8164] IGA Gladu Saint-Luc → ['7975764', '7972009']
  [8168] IGA extra Famille LacostePointe-aux-Trembles → ['7975764', '7972009']
  [8175] IGA Extra Saint-Georges → ['7975760', '7972009']
  [8176] IGA Saint-Joseph-de-Beauce → ['7975760', '7972009']
  [8182] IGA Gestion Tremblay & Leboeuf inc. → ['7975760', '7972009']
  [8183] IGA Marché M. Bouchard → ['7975764', '7972009']
  [8186] Marché Famille Leblanc Forté et fils → ['7975764', '7972009']
  [8187] IGA Marché du Faubourg Ste-Julie inc. → ['7975766', '7972009']
  [8188] IGA Deschênes → ['7975764', '7972009']
  [8189] RB Mont Saint Hilaire → ['7975762', '7972009']
  [8190] IGA Marché Michel Lemieux inc. → ['7975764', '7972009']
