=== IGA Flyer Fetch — 2026-06-25 ===
Run started : 2026-06-25 13:57:03 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (7241 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['7999847', '7990150']
  [409] IGA Stoneham-et-Tewkesbury → ['7999851', '7990150']
  [2422] IGA La Coop de Shediac (Depanneur) → ['8000038', '7990142']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['8000038', '7990142']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['8000038', '7990142']
  [2524] IGA HENRI LAFLAMME INC. → ['7999847', '7990150']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['7999847', '7990150']
  [5476] IGA Famille Julien inc. → ['7999847', '7990150']
  [5598] IGA - Quebec inc. → ['7999847', '7990150']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['7999847', '7990150']
  [5869] IGA - Quebec Inc. → ['7999847', '7990150']
  [5910] 9378-3702 Quebec inc. → ['7999847', '7990150']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['7999847', '7990150']
  [5925] IGA - Quebec inc. → ['7999847', '7990150']
  [5940] IGA - Quebec Inc. → ['7999847', '7990150']
  [6016] IGA Les Investissements St-David inc. → ['7999847', '7990150']
  [6018] IGA - Quebec inc. → ['7999847', '7990150']
  [6027] IGA express Des Sources → ['7999847', '7990150']
  [6029] IGA express Gagné et fils → ['7999847', '7990150']
  [6032] IGA - Quebec inc → ['7999847', '7990150']
  [6035] IGA Depanneur CDL inc. → ['7999847', '7990150']
  [6042] IGA Express Famille Piché → ['7999847', '7990150']
  [6139] IGA Marche Lambert et Freres inc. → ['7999847', '7990150']
  [6141] IGA Publicite Punch () inc. → ['7999847', '7990150']
  [6484] IGA - Quebec inc. → ['7999847', '7990150']
  [6485] IGA - Quebec inc. → ['7999847', '7990150']
  [6882] IGA - Quebec Inc. → ['7999847', '7990150']
  [6932] IGA des Sources Galeries Charlebourg → ['7999851', '7990150']
  [6945] IGA express Les filles et associés → ['7999847', '7990150']
  [7878] IGA Marché Clément des Forges inc. → ['7999853', '7990150']
  [7906] IGA extra Les Marchés Emily et Philip → ['7999849', '7990150']
  [7920] IGA Ernest Joly & Fils inc. → ['7999847', '7990150']
  [7924] Groupe Epiciers Couture inc. → ['7999847', '7990150']
  [7925] RB Complexe Desjardins → ['7999849', '7990150']
  [8003] IGA Ronald Boucher & Fils inc. → ['7999847', '7990150']
  [8004] IGA Alimentation Jean Martin inc. → ['7999853', '7990150']
  [8007] IGA Marché Demers → ['7999847', '7990150']
  [8008] IGA Marché Aliguy inc. → ['7999847', '7990150']
  [8012] IGA Extra Chaumont et Bilodeau → ['7999853', '7990150']
  [8013] IGA Marché Girard Terrebonne inc. → ['7999851', '7990150']
  [8016] IGA Extra Couture → ['7999853', '7990150']
  [8018] IGA Supermarché Mellon inc. → ['7999847', '7990150']
  [8019] IGA Chibougamau → ['7999847', '7990150']
  [8020] IGA Marche Famille Mondor inc → ['7999849', '7990150']
  [8021] IGA Marché Lambert et frères inc. → ['7999853', '7990150']
  [8022] IGA Ormstown → ['7999847', '7990150']
  [8023] IGA ALIMENTATION CHRISTIAN ET GINETTE S → ['7999853', '7990150']
  [8028] IGA Groupe Epicier Angus → ['7999847', '7990150']
  [8031] IGA Extra Quebec Marche Lambert et freres inc. → ['7999853', '7990150']
  [8032] IGA extra Vallée Candiac → ['7999851', '7990150']
  [8033] IGA Supermarchés Jacques Daigle inc. → ['7999853', '7990150']
  [8034] IGA Alimentation Raymond Rousseau inc. → ['7999851', '7990150']
  [8035] IGA Marché Raynald Giguère inc. → ['7999851', '7990150']
  [8041] IGA Alimentation Frédérik Martin Inc. → ['7999847', '7990150']
