=== IGA Flyer Fetch — 2026-07-02 ===
Run started : 2026-07-02 13:47:11 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (7774 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['8009092', '7990152']
  [409] IGA Stoneham-et-Tewkesbury → ['8009096', '7990152']
  [2422] IGA La Coop de Shediac (Depanneur) → ['8009773', '7990144']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['8009773', '7990144']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['8009773', '7990144']
  [2524] IGA HENRI LAFLAMME INC. → ['8009092', '7990152']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['8009092', '7990152']
  [5476] IGA Famille Julien inc. → ['8009092', '7990152']
  [5598] IGA - Quebec inc. → ['8009092', '7990152']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['8009092', '7990152']
  [5869] IGA - Quebec Inc. → ['8009092', '7990152']
  [5910] 9378-3702 Quebec inc. → ['8009092', '7990152']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['8009092', '7990152']
  [5925] IGA - Quebec inc. → ['8009092', '7990152']
  [5940] IGA - Quebec Inc. → ['8009092', '7990152']
  [6016] IGA Les Investissements St-David inc. → ['8009092', '7990152']
  [6018] IGA - Quebec inc. → ['8009092', '7990152']
  [6027] IGA express Des Sources → ['8009092', '7990152']
  [6029] IGA express Gagné et fils → ['8009092', '7990152']
  [6032] IGA - Quebec inc → ['8009092', '7990152']
  [6035] IGA Depanneur CDL inc. → ['8009092', '7990152']
  [6042] IGA Express Famille Piché → ['8009092', '7990152']
  [6139] IGA Marche Lambert et Freres inc. → ['8009092', '7990152']
  [6141] IGA Publicite Punch () inc. → ['8009092', '7990152']
  [6484] IGA - Quebec inc. → ['8009092', '7990152']
  [6485] IGA - Quebec inc. → ['8009092', '7990152']
  [6882] IGA - Quebec Inc. → ['8009092', '7990152']
  [6932] IGA des Sources Galeries Charlebourg → ['8009096', '7990152']
  [6945] IGA express Les filles et associés → ['8009092', '7990152']
  [7878] IGA Marché Clément des Forges inc. → ['8009098', '7990152']
  [7906] IGA extra Les Marchés Emily et Philip → ['8009094', '7990152']
  [7920] IGA Ernest Joly & Fils inc. → ['8009092', '7990152']
  [7924] Groupe Epiciers Couture inc. → ['8009092', '7990152']
  [7925] RB Complexe Desjardins → ['8009094', '7990152']
  [8003] IGA Ronald Boucher & Fils inc. → ['8009092', '7990152']
  [8004] IGA Alimentation Jean Martin inc. → ['8009098', '7990152']
  [8007] IGA Marché Demers → ['8009092', '7990152']
  [8008] IGA Marché Aliguy inc. → ['8009092', '7990152']
  [8012] IGA Extra Chaumont et Bilodeau → ['8009098', '7990152']
  [8013] IGA Marché Girard Terrebonne inc. → ['8009096', '7990152']
  [8016] IGA Extra Couture → ['8009098', '7990152']
  [8018] IGA Supermarché Mellon inc. → ['8009092', '7990152']
  [8019] IGA Chibougamau → ['8009092', '7990152']
  [8020] IGA Marche Famille Mondor inc → ['8009094', '7990152']
  [8021] IGA Marché Lambert et frères inc. → ['8009098', '7990152']
  [8022] IGA Ormstown → ['8009092', '7990152']
  [8023] IGA ALIMENTATION CHRISTIAN ET GINETTE S → ['8009098', '7990152']
  [8028] IGA Groupe Epicier Angus → ['8009092', '7990152']
  [8031] IGA Extra Quebec Marche Lambert et freres inc. → ['8009098', '7990152']
  [8032] IGA extra Vallée Candiac → ['8009096', '7990152']
  [8033] IGA Supermarchés Jacques Daigle inc. → ['8009098', '7990152']
  [8034] IGA Alimentation Raymond Rousseau inc. → ['8009096', '7990152']
  [8035] IGA Marché Raynald Giguère inc. → ['8009096', '7990152']
  [8041] IGA Alimentation Frédérik Martin Inc. → ['8009092', '7990152']
  [8042] IGA Marché DesRosiers inc. → no new flyers
  [8043] IGA Extra Lamoureux Saint-Eustache → ['8009098', '7990152']
  [8046] IGA Alimentation Coaticook () inc. → ['8009092', '7990152']
  [8049] IGA Famille Guilbault → ['8009092', '7990152']
  [8050] IGA Supermarché J.C. Bédard Ltée → ['8009096', '7990152']
  [8052] IGA Alimentation Serge Vermette inc. → ['8009096', '7990152']
  [8053] IGA Les Marchés Pepin inc. → ['8009098', '7990152']
  [8054] IGA Roy → ['8009092', '7990152']
  [8056] IGA Supermarché Pierre Patry Extra → ['8009092', '7990152']
  [8057] IGA Beaumont → ['8009098', '7990152']
  [8058] IGA Supermarché Crevier Notre-Dame → ['8009098', '7990152']
  [8060] IGA Molson → ['8009096', '7990152']
  [8064] IGA Famille Charles Cantley → ['8009096', '7990152']
  [8065] IGA CookshireGestion Gilles Gene → ['8009092', '7990152']
  [8070] IGA Extra marché Lambert → ['8009096', '7990152']
  [8071] IGA Épicerie R. Cadieux et Fils inc. → ['8009096', '7990152']
  [8073] IGA Marché IGA Lord de Lafontaine → ['8009096', '7990152']
  [8077] IGA Marché Clément St-Charles Inc. → ['8009096', '7990152']
  [8078] IGA Marché Emily Philip Desmarais inc. → ['8009098', '7990152']
  [8081] IGA COOP Consommateurs de Lorette → ['8009096', '7990152']
  [8092] IGA L.A. Daigneault et fils ltée → ['8009098', '7990152']
  [8093] IGA Sobeys Capital inc. → ['8009096', '7990152']
  [8096] IGA Marché Denis → ['8009096', '7990152']
  [8111] IGA Alimentation Shnaidman Pagano → ['8009096', '7990152']
  [8113] IGA Groupe Pro  Inc. → ['8009096', '7990152']
  [8115] IGA Supermarché Clément Nicolet Inc. → ['8009092', '7990152']
  [8123] IGA EXTRA Mascouche → ['8009098', '7990152']
  [8137] IGA Les Marchés Pepin inc. → ['8009096', '7990152']
