=== IGA Flyer Fetch — 2026-09-03 ===
Run started : 2026-09-03 17:09:41 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (9112 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['8117485', '8107759']
  [409] IGA Stoneham-et-Tewkesbury → ['8117489', '8107759']
  [2422] IGA La Coop de Shediac (Depanneur) → ['8117343', '8107757']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['8117343', '8107757']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['8117343', '8107757']
  [2524] IGA HENRI LAFLAMME INC. → ['8117485', '8107759']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['8117485', '8107759']
  [5476] IGA Famille Julien inc. → ['8117485', '8107759']
  [5598] IGA - Quebec inc. → ['8117485', '8107759']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['8117485', '8107759']
  [5869] IGA - Quebec Inc. → ['8117485', '8107759']
  [5910] 9378-3702 Quebec inc. → ['8117485', '8107759']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['8117485', '8107759']
  [5925] IGA - Quebec inc. → ['8117485', '8107759']
  [5940] IGA - Quebec Inc. → ['8117485', '8107759']
  [6016] IGA Les Investissements St-David inc. → ['8117485', '8107759']
  [6018] IGA - Quebec inc. → ['8117485', '8107759']
  [6027] IGA express Des Sources → ['8117485', '8107759']
  [6029] IGA express Gagné et fils → ['8117485', '8107759']
  [6032] IGA - Quebec inc → ['8117485', '8107759']
  [6035] IGA Depanneur CDL inc. → ['8117485', '8107759']
  [6042] IGA Express Famille Piché → ['8117485', '8107759']
  [6139] IGA Marche Lambert et Freres inc. → ['8117485', '8107759']
  [6141] IGA Publicite Punch () inc. → ['8117485', '8107759']
  [6484] IGA - Quebec inc. → ['8117485', '8107759']
  [6485] IGA - Quebec inc. → ['8117485', '8107759']
  [6882] IGA - Quebec Inc. → ['8117485', '8107759']
  [6932] IGA des Sources Galeries Charlebourg → ['8117501', '8107759']
  [6945] IGA express Les filles et associés → ['8117485', '8107759']
  [7878] IGA Marché Clément des Forges inc. → ['8117493', '8107759']
  [7906] IGA extra Les Marchés Emily et Philip → ['8118233', '8107759']
  [7920] IGA Ernest Joly & Fils inc. → ['8118237', '8107759']
  [7924] Groupe Epiciers Couture inc. → ['8117503', '8107759']
  [7925] RB Complexe Desjardins → ['8118241', '8107759']
  [8003] IGA Ronald Boucher & Fils inc. → ['8117485', '8107759']
  [8004] IGA Alimentation Jean Martin inc. → ['8118235', '8107759']
  [8007] IGA Marché Demers → ['8117485', '8107759']
  [8008] IGA Marché Aliguy inc. → ['8117485', '8107759']
  [8012] IGA Extra Chaumont et Bilodeau → ['8117491', '8107759']
  [8013] IGA Marché Girard Terrebonne inc. → ['8118229', '8107759']
  [8016] IGA Extra Couture → ['8117491', '8107759']
