=== IGA Flyer Fetch — 2026-05-07 ===
Run started : 2026-05-07 13:50:09 UTC

Loaded 271 stores from data/iga/stores.json

Stores loaded: 271
Loaded existing store_flyers.json (2152 publication entries)

Phase 1: fetching publications per store…

  [8123] IGA EXTRA Mascouche → ['7915886', '7915723', '7911191']
  [8137] IGA Les Marchés Pepin inc. → ['7915884', '7915723', '7911191']
  [8144] IGA Marché d'alimentation Crevier inc. → ['7915890', '7915723', '7911191']
  [8154] IGA La Seigneurie Blainville Inc. → ['7915884', '7915723', '7911191']
  [8162] IGA Supermarché Famille Rousseau S.B.D. → ['7915880', '7915723', '7911191']
  [8163] IGA Extra Gladu Douglas → ['7915884', '7915723', '7911191']
  [8164] IGA Gladu Saint-Luc → ['7915884', '7915723', '7911191']
  [8168] IGA extra Famille LacostePointe-aux-Trembles → ['7915884', '7915723', '7911191']
  [8175] IGA Extra Saint-Georges → ['7915880', '7915723', '7911191']
  [8176] IGA Saint-Joseph-de-Beauce → ['7915880', '7915723', '7911191']
  [8182] IGA Gestion Tremblay & Leboeuf inc. → ['7915880', '7915723', '7911191']
  [8183] IGA Marché M. Bouchard → ['7915884', '7915723', '7911191']
  [8186] Marché Famille Leblanc Forté et fils → ['7915884', '7915723', '7911191']
  [8187] IGA Marché du Faubourg Ste-Julie inc. → ['7915886', '7915723', '7911191']
  [8188] IGA Deschênes → ['7915884', '7915723', '7911191']
  [8189] RB Mont Saint Hilaire → ['7915882', '7915723', '7911191']
  [8190] IGA Marché Michel Lemieux inc. → ['7915884', '7915723', '7911191']
  [8191] IGA Supermarché Bergeron Inc → ['7915880', '7915723', '7911191']
  [8193] IGA Supermarché IGA extra Shawinigan → ['7915884', '7915723', '7911191']
  [8196] IGA Roger Rainville & Fils inc. → ['7915880', '7915723', '7911191']
  [8197] IGA Supermarché IGA Gagnon & Filles Inc → ['7915890', '7915723', '7911191']
  [8199] IGA Mercier Famille Reid-Boursier → ['7915886', '7915723', '7911191']
  [8200] IGA Supermarché Arcand () Inc. → ['7915880', '7915723', '7911191']
  [8202] IGA Sainte-Martine → ['7915880', '7915723', '7911191']
  [8203] IGA Supermarché Gilles Bariteau inc. → ['7915886', '7915723', '7911191']
