=== IGA Flyer Fetch — 2026-09-24 ===
Run started : 2026-09-24 18:01:36 UTC

Loaded 271 stores from data/iga/stores.parquet

Stores loaded: 271
Loaded store_flyers.parquet (9899 publication entries)

Phase 1: fetching publications per store…

  [288] IGA Alimentation St-Onge inc. → ['8144532', '8147694']
  [409] IGA Stoneham-et-Tewkesbury → ['8144536', '8147694']
  [2422] IGA La Coop de Shediac (Depanneur) → ['8144608', '8147692']
  [2430] IGA La Soc Coop de Lameque (Depanneur) → ['8144608', '8147692']
  [2431] IGA La Coop cons. Dieppe (Depanneur) → ['8144608', '8147692']
  [2524] IGA HENRI LAFLAMME INC. → ['8144532', '8147694']
  [5238] IGA Les Fiduc. SQSP (Coteau-du-Lac) → ['8144532', '8147694']
  [5476] IGA Famille Julien inc. → ['8144532', '8147694']
  [5598] IGA - Quebec inc. → ['8144532', '8147694']
  [5662] IGA Sobeys Capital inc. (EXP/Longueuil) → ['8144532', '8147694']
  [5869] IGA - Quebec Inc. → ['8144532', '8147694']
  [5910] 9378-3702 Quebec inc. → ['8144532', '8147694']
  [5924] IGA Sobeys Capital inc. (Q. spectacles) → ['8144532', '8147694']
  [5925] IGA - Quebec inc. → ['8144532', '8147694']
  [5940] IGA - Quebec Inc. → ['8144532', '8147694']
  [6016] IGA Les Investissements St-David inc. → ['8144532', '8147694']
  [6018] IGA - Quebec inc. → ['8144532', '8147694']
  [6027] IGA express Des Sources → ['8144532', '8147694']
  [6029] IGA express Gagné et fils → ['8144532', '8147694']
  [6032] IGA - Quebec inc → ['8144532', '8147694']
  [6035] IGA Depanneur CDL inc. → ['8144532', '8147694']
  [6042] IGA Express Famille Piché → ['8144532', '8147694']
  [6139] IGA Marche Lambert et Freres inc. → ['8144532', '8147694']
  [6141] IGA Publicite Punch () inc. → ['8144532', '8147694']
  [6484] IGA - Quebec inc. → ['8144532', '8147694']
  [6485] IGA - Quebec inc. → ['8144532', '8147694']
  [6882] IGA - Quebec Inc. → ['8144532', '8147694']
  [6932] IGA des Sources Galeries Charlebourg → ['8144536', '8147694']
  [6945] IGA express Les filles et associés → ['8144532', '8147694']
  [7878] IGA Marché Clément des Forges inc. → ['8144544', '8147694']
  [7906] IGA extra Les Marchés Emily et Philip → ['8144534', '8147694']
  [7920] IGA Ernest Joly & Fils inc. → ['8144532', '8147694']
  [7924] Groupe Epiciers Couture inc. → ['8144532', '8147694']
  [7925] RB Complexe Desjardins → ['8144534', '8147694']
  [8003] IGA Ronald Boucher & Fils inc. → ['8144532', '8147694']
  [8004] IGA Alimentation Jean Martin inc. → ['8144538', '8147694']
  [8007] IGA Marché Demers → ['8144532', '8147694']
  [8008] IGA Marché Aliguy inc. → ['8144532', '8147694']
  [8012] IGA Extra Chaumont et Bilodeau → ['8144536', '8147694']
  [8013] IGA Marché Girard Terrebonne inc. → ['8144536', '8147694']
  [8016] IGA Extra Couture → ['8144538', '8147694']
  [8018] IGA Supermarché Mellon inc. → ['8144532', '8147694']
  [8019] IGA Chibougamau → ['8144532', '8147694']
  [8020] IGA Marche Famille Mondor inc → ['8144534', '8147694']
  [8021] IGA Marché Lambert et frères inc. → ['8144538', '8147694']
  [8022] IGA Ormstown → ['8144532', '8147694']
  [8023] IGA ALIMENTATION CHRISTIAN ET GINETTE S → no new flyers
  [8028] IGA Groupe Epicier Angus → ['8144532', '8147694']
  [8031] IGA Extra Quebec Marche Lambert et freres inc. → ['8147694']
  [8032] IGA extra Vallée Candiac → ['8144536', '8147694']
  [8033] IGA Supermarchés Jacques Daigle inc. → ['8144538', '8147694']
  [8034] IGA Alimentation Raymond Rousseau inc. → ['8144536', '8147694']
  [8035] IGA Marché Raynald Giguère inc. → ['8144536', '8147694']
  [8041] IGA Alimentation Frédérik Martin Inc. → ['8144532', '8147694']
  [8042] IGA Marché DesRosiers inc. → no new flyers
  [8043] IGA Extra Lamoureux Saint-Eustache → ['8144538', '8147694']
  [8046] IGA Alimentation Coaticook () inc. → no new flyers
  [8049] IGA Famille Guilbault → ['8144532', '8147694']
  [8050] IGA Supermarché J.C. Bédard Ltée → ['8144536', '8147694']
  [8052] IGA Alimentation Serge Vermette inc. → ['8144536', '8147694']
  [8053] IGA Les Marchés Pepin inc. → ['8144538', '8147694']
  [8054] IGA Roy → ['8144532', '8147694']
  [8056] IGA Supermarché Pierre Patry Extra → ['8144532', '8147694']
  [8057] IGA Beaumont → ['8144536', '8147694']
  [8058] IGA Supermarché Crevier Notre-Dame → ['8144538', '8147694']
  [8060] IGA Molson → ['8144540', '8147694']
  [8064] IGA Famille Charles Cantley → ['8144536', '8147694']
  [8065] IGA CookshireGestion Gilles Gene → ['8144532', '8147694']
  [8070] IGA Extra marché Lambert → ['8144536', '8147694']
  [8071] IGA Épicerie R. Cadieux et Fils inc. → ['8144536', '8147694']
  [8073] IGA Marché IGA Lord de Lafontaine → ['8144536', '8147694']
  [8077] IGA Marché Clément St-Charles Inc. → ['8144536', '8147694']
  [8078] IGA Marché Emily Philip Desmarais inc. → ['8144538', '8147694']
  [8081] IGA COOP Consommateurs de Lorette → ['8144536', '8147694']
  [8092] IGA L.A. Daigneault et fils ltée → ['8144538', '8147694']
  [8093] IGA Sobeys Capital inc. → ['8144536', '8147694']
  [8096] IGA Marché Denis → ['8144536', '8147694']
  [8111] IGA Alimentation Shnaidman Pagano → ['8144536', '8147694']
  [8113] IGA Groupe Pro  Inc. → ['8144536', '8147694']
  [8115] IGA Supermarché Clément Nicolet Inc. → ['8144532', '8147694']
  [8123] IGA EXTRA Mascouche → ['8144538', '8147694']
  [8137] IGA Les Marchés Pepin inc. → ['8144536', '8147694']
  [8144] IGA Marché d'alimentation Crevier inc. → ['8144538', '8147694']
  [8154] IGA La Seigneurie Blainville Inc. → ['8144536', '8147694']
  [8162] IGA Supermarché Famille Rousseau S.B.D. → ['8144532', '8147694']
  [8163] IGA Extra Gladu Douglas → ['8144536', '8147694']
  [8164] IGA Gladu Saint-Luc → ['8144536', '8147694']
  [8168] IGA extra Famille LacostePointe-aux-Trembles → ['8144536', '8147694']
  [8175] IGA Extra Saint-Georges → ['8144532', '8147694']
  [8176] IGA Saint-Joseph-de-Beauce → ['8144532', '8147694']
  [8182] IGA Gestion Tremblay & Leboeuf inc. → ['8144532', '8147694']
  [8183] IGA Marché M. Bouchard → ['8144536', '8147694']
  [8186] Marché Famille Leblanc Forté et fils → ['8144536', '8147694']
  [8187] IGA Marché du Faubourg Ste-Julie inc. → ['8144538', '8147694']
  [8188] IGA Deschênes → ['8144536', '8147694']
  [8189] RB Mont Saint Hilaire → ['8144534', '8147694']
  [8190] IGA Marché Michel Lemieux inc. → ['8144536', '8147694']
  [8191] IGA Supermarché Bergeron Inc → ['8144532', '8147694']
  [8193] IGA Supermarché IGA extra Shawinigan → ['8144536', '8147694']
  [8196] IGA Roger Rainville & Fils inc. → ['8144532', '8147694']
  [8197] IGA Supermarché IGA Gagnon & Filles Inc → ['8144538', '8147694']
  [8199] IGA Mercier Famille Reid-Boursier → ['8144538', '8147694']
  [8200] IGA Supermarché Arcand () Inc. → ['8144532', '8147694']
  [8202] IGA Sainte-Martine → ['8144532', '8147694']
  [8203] IGA Supermarché Gilles Bariteau inc. → ['8144538', '8147694']
  [8204] IGA Supermarché Pépin → ['8144536', '8147694']
  [8207] IGA Marché d'alimentation Martin Lamarr → ['8144536', '8147694']
  [8209] IGA Alimentation Yvon Haché → ['8144532', '8147694']
  [8210] IGA Marché Louise Ménard inc. → ['8144536', '8147694']
  [8212] IGA Marché Gazaille → ['8144538', '8147694']
  [8213] IGA Marché de L’île-des Sœurs → ['8144536', '8147694']
  [8214] IGA Marché Louise Ménard (Préville) Inc → ['8144538', '8147694']
  [8217] IGA Marché Louise Ménard → ['8144536', '8147694']
  [8219] IGA Marché Louise Ménard inc. (Place Du → ['8144536', '8147694']
  [8222] IGA MARCHÉ MÉLANIE LE TRIANGLE → no new flyers
  [8223] IGA Marché GouletGrenville → ['8144532', '8147694']
  [8224] IGA Marché Au Chalet () inc. → ['8144536', '8147694']
  [8225] IGA Marché Forgues → ['8144536', '8147694']
  [8226] IGA Supermarché Picard inc. → ['8144538', '8147694']
  [8228] IGA COOP IGA AMOS-OUEST → ['8144532', '8147694']
  [8231] Abitibi-Témiscamingue → ['8144532', '8147694']
  [8233] IGA Sobeys Capital inc. (Gr-Riviere) → ['8144532', '8147694']
  [8234] IGA Poulin → ['8144536', '8147694']
  [8236] IGA Coop de Ste-Foy (rue du Campanile) → ['8144536', '8147694']
  [8238] IGA Marché Ouimette Fille et Fils Inc. → ['8144532', '8147694']
  [8239] IGA Marché RaymondRivière Rouge → ['8144532', '8147694']
  [8240] IGA Marche St-Canut inc. → ['8144538', '8147694']
  [8247] IGA Marché Toppetta → ['8144536', '8147694']
  [8248] IGA Marché Famille Viau inc. → ['8144538', '8147694']
  [8250] IGA Marché Arbour-LeBlanc → ['8144532', '8147694']
  [8253] IGA Atwater → ['8144536', '8147694']
  [8254] IGA Supermarché IGA Raymond Martin inc. → ['8144538', '8147694']
  [8255] IGA Coop C. Chandler → ['8144532', '8147694']
  [8258] IGA Supermarché Clément Louiseville Inc → ['8144536', '8147694']
  [8259] IGA Extra Magog Gazaille → ['8144538', '8147694']
  [8262] IGA La Coopérative de Caraquet ltée → ['8144608', '8147692']
  [8264] IGA S. Albert inc. → ['8144532', '8147694']
  [8268] IGA - Quebec inc. → ['8144538', '8147694']
  [8270] IGA Extra des-Rapides → ['8144538', '8147694']
  [8273] IGA Famille Crégheur (La Pinière) inc. → ['8144538', '8147694']
  [8274] IGA Beauceville → ['8144532', '8147694']
  [8275] IGA Supermarché IGA St-Henri → ['8144532', '8147694']
  [8278] IGA de Boischatel → ['8144538', '8147694']
