=== Metro Ontario Flyer Fetch — 2026-05-21 ===
Run started : 2026-05-21 14:22:36 UTC

Loaded 133 stores from data/metro/stores.parquet

Stores loaded: 133
Loaded store_flyers.parquet (1535 flyer entries)

Phase 1: fetching flyer listings per store…

  [261] #132 Trenton (Quinte) → ['83407', '205352', '83407M']
  [263] #026 Stouffville (Main) → ['83407', '205352', '83407M']
  [265] #178 Collingwood (First) → ['83407', '205352', '83407M']
  [267] #421 Thunder Bay (River) → ['83407', '205352', '83407M']
  [273] #479 Orillia (Front St. Mall) → ['83407', '205352', '83407M']
  [275] #106 Whitby (Thickson/Hwy 2) → ['83407', '205352', '83407M']
  [281] #062 Metro Front Street → ['83407', '205352', '83407M']
  [286] #046 Mississauga (Southdown) → ['83407', '205352', '83407M']
  [327] #140 Georgetown (Mountainview) → ['83407', '205352', '83407M']
  [340] #205 Whitby (Whitby Shores Plaza) → ['83407', '205352', '83407M']
  [492] #249 Kanata (March Rd) → ['83407', '205352', '83407M']
  [494] #251 Nepean (Greenbank Square) → ['83407', '205352', '83407M']
  [495] #252 Metro Southgate → ['83407', '205352', '83407M']
  [496] #253 Gloucester (Ogilvie Square) → ['83407', '205352', '83407M']
  [497] #243 Ottawa (Lincoln Heights) → ['83407', '205352', '83407M']
  [498] #255 Metro Island Park → ['83407', '205352', '83407M']
  [499] #256 Metro Chapman Mills → ['83407', '205352', '83407M']
  [501] #258 Sudbury (Lasalle Blvd) → ['83407', '205352', '83407M']
  [502] #259 Sturgeon Falls (Front) → ['83407', '205352', '83407M']
  [503] #260 Orleans (Convent Glen Market) → ['83407', '205352', '83407M']
  [504] #261 Metro Beechwood → ['83407', '205352', '83407M']
  [506] #263 Metro Elmvale → ['83407', '205352', '83407M']
  [507] #264 Gloucester (Blackburn) → ['83407', '205352', '83407M']
  [508] #265 Metro Cumberland → ['83407', '205352', '83407M']
  [509] #266 Kingston (Bayridge) → ['83407', '205352', '83407M']
  [510] #267 Nepean (Stafford) → ['83407', '205352', '83407M']
  [511] #269 Brockville (King) → ['83407', '205352', '83407M']
  [514] #272 Ottawa (Merivale/Viewmount) → ['83407', '205352', '83407M']
  [515] #273 Casselman (Richer Circle) → ['83407', '205352', '83407M']
  [516] #275 Metro Fallingbrook → ['83407', '205352', '83407M']
  [517] GLEBE 428 → ['83407', '205352', '83407M']
  [518] VAL CARON 430 → ['83407', '205352', '83407M']
  [519] BARRY'S BAY → ['83407', '205352', '83407M']
  [520] PERTH 990 → ['83407', '205352', '83407M']
  [521] RENFREW MARKET 898 → ['83407', '205352', '83407M']
  [529] #703 Ajax (Salem) → ['83407', '205352', '83407M']
  [774] #065 Metro Humber Bay Park → ['83407', '205352', '83407M']
  [806] PEMBROKE 426 → ['83407', '205352', '83407M']
  [825] #772 Metro West Queen West → ['83407', '205352', '83407M']
  [827] #136 Metro Devonshire Mall → ['83407', '205352', '83407M']
  [835] #215 Winona (Winona Crossing) → ['83407', '205352', '83407M']
  [848] #21 Bathurst & Steeles → ['83407', '205352', '83407M']
