=== Walmart Flyer Fetch — 2026-09-10 ===
Run started : 2026-09-10 17:08:46 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (8829 publication entries)

Phase 1: fetching publications per store…

  [1000] Milton → ['8121724', '8110328']
  [1001] Bowmanville → ['8121724', '8110328']
  [1003] Bridgewater → ['8127960', '8110330']
  [1004] Toronto → ['8121724', '8110328']
  [1007] Kitchener West → ['8121724', '8110328']
  [1008] Drayton Valley → ['8127964', '8110332']
  [1009] Whitecourt → ['8121731', '8110332']
  [1011] Trail → ['8121732', '8110333']
  [1012] Keswick → ['8121724', '8110328']
  [1013] Grand Falls → ['8121726', '8110330']
  [1014] Antigonish → ['8121727', '8110330']
  [1015] Squamish → ['8121732', '8110333']
  [1016] Yarmouth → ['8127960', '8110330']
  [1017] Digby → ['8127960', '8110330']
  [1018] Port Alberni → ['8121732', '8110333']
  [1019] Lac-Mégantic → ['8127958', '8110329']
  [1020] Sainte-Agathe-des-Monts → ['8127958', '8110329']
  [1022] Winkler → ['8121730', '8111145']
  [1023] Parry Sound → ['8121724', '8110328']
  [1025] Matane → ['8121725', '8110329']
  [1026] Marystown → ['8127962', '8110331']
  [1027] Selkirk → ['8121730', '8111145']
  [1028] Drumheller → ['8121731', '8110332']
  [1029] Stouffville → ['8127957', '8110328']
  [1030] Slave Lake → ['8127964', '8110332']
  [1031] Ottawa Supercentre → ['8121724', '8110328']
  [1032] Laval Est → ['8121725', '8110329']
  [1033] Edmundston → ['8127959', '8110330']
  [1034] Stettler → ['8121731', '8110332']
  [1035] Labrador City → ['8127962', '8110331']
  [1036] Merritt → ['8127965', '8110333']
  [1038] Strathroy → ['8121724', '8110328']
  [1039] Collingwood → ['8121724', '8110328']
  [1040] Saint-Georges-de-Beauce → ['8121725', '8110329']
  [1041] Napanee → ['8121724', '8110328']
  [1042] Hamilton → ['8121724', '8110328']
  [1043] Woodstock → ['8127959', '8110330']
  [1045] Saint-Romuald → ['8127958', '8110329']
  [1046] Taber → ['8127964', '8110332']
  [1047] Kemptville → ['8121724', '8110328']
  [1048] Edson → ['8121731', '8110332']
  [1049] Strathmore → ['8121731', '8110332']
  [1050] Airdrie → ['8121731', '8110332']
  [1052] Sussex → ['8121726', '8110330']
  [1054] Bracebridge → ['8121724', '8110328']
  [1056] Oshawa → ['8127957', '8110328']
  [1057] Vaudreuil-Dorion → ['8121725', '8110329']
  [1059] Port Elgin → ['8121724', '8110328']
  [1060] Rockland → ['8121724', '8110328']
  [1061] SSC → ['8121724', '8110328']
  [1062] Wainwright (Supercentre) → ['8121731', '8110332']
  [1064] Wallaceburg → ['8121724', '8110328']
  [1065] Kindersley → ['8127964', '8110332']
  [1067] Fredericton → ['8121726', '8110330']
  [1068] Peace River → ['8127964', '8110332']
  [1069] Port Perry → ['8121724', '8110328']
  [1070] Pincher Creek → ['8121731', '8110332']
  [1071] Vegreville → ['8121731', '8110332']
  [1072] Amherstburg → ['8121724', '8110328']
  [1075] Carleton Place → ['8121724', '8110328']
  [1076] Magog → ['8121725', '8110329']
