=== Walmart Flyer Fetch — 2026-07-02 ===
Run started : 2026-07-02 13:48:55 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (6339 publication entries)

Phase 1: fetching publications per store…

  [1139] Toronto Downsview → ['8002874', '8009319', '8006069']
  [1140] Montreal (Dorval) → ['8002875', '8009320', '8006070']
  [1141] Steinbach → ['8002880', '8009325', '8006073']
  [1143] Prince Rupert → ['8011709', '8009327', '8006074']
  [1145] Edmonton (South Park) → ['8002881', '8009326', '8006073']
  [1146] Edmonton (Northgate) → ['8011708', '8009326', '8006073']
  [1149] Edmonton (Meadowlark) → ['8002881', '8009326', '8006073']
  [1150] Toronto (Gerrard Square) → ['8002874', '8009319', '8006069']
  [1151] Toronto (Sheridan) → ['8002874', '8009319', '8006069']
  [1156] Waterloo (C) → ['8002874', '8009319', '8006069']
  [1157] London (Northland) → ['8002874', '8009319', '8006069']
  [1158] Ottawa (Gloucester) → ['8002874', '8009319', '8006069']
  [1159] Hawkesbury → ['8002874', '8009319', '8006069']
  [1160] Listowel → ['8002874', '8009319', '8006069']
  [1161] Newmarket → ['8011701', '8009319', '8006069']
  [1162] Peterborough (S) → ['8002874', '8009319', '8006069']
  [1164] St Catharines (Centre) → ['8002874', '8009319', '8006069']
  [1165] Thunder Bay (S) → ['8002874', '8009319', '8006069']
  [1166] Thunder Bay (N) → ['8002874', '8009319', '8006069']
  [1167] Longueuil (S) → ['8002875', '8009320', '8006070']
  [1168] Montreal (Hochelaga) → ['8002875', '8009320', '8006070']
  [1169] Pointe-aux-Trembles → ['8002875', '8009320', '8006070']
  [1170] Montreal (Cote Des Neiges) → ['8002875', '8009320', '8006070']
  [1172] Sherbrooke (E) (Fleurimont) → ['8002875', '8009320', '8006070']
  [1173] La Pocatiere → ['8002875', '8009320', '8006070']
  [1174] Sorel-Tracy → ['8002875', '8009320', '8006070']
  [1175] Saint John (W) → ['8002876', '8009321', '8006071']
  [1176] Dartmouth → ['8011704', '8009322', '8006071']
  [1177] Greenwood → ['8011704', '8009322', '8006071']
  [1178] North Sydney → ['8002877', '8009322', '8006071']
  [1181] Tsawwassen → ['8002882', '8009327', '8006074']
  [1182] Kingsway Mall Supercentre → ['8011708', '8009326', '8006073']
  [1183] Place Viau → ['8002875', '8009320', '8006070']
  [1185] Blainville → ['8002875', '8009320', '8006070']
  [1186] Winnipeg (Grant Park) → ['8002880', '8009325', '8006073']
  [1187] Edmonton (Ellerslie) → ['8002881', '8009326', '8006073']
  [1188] Brampton South → ['8002874', '8009319', '8006069']
  [1189] Ville Saint-Laurent → ['8002875', '8009320', '8006070']
  [1190] Hull (Supercentre) → ['8002875', '8009320', '8006070']
  [1192] New Westminster → ['8002882', '8009327', '8006074']
  [1199] Guelph (South) → ['8002874', '8009319', '8006069']
  [1200] Ottawa Central Supercentre → ['8002874', '8009319', '8006069']
  [1201] Québec City → ['8002875', '8009320', '8006070']
  [1202] Pointe Claire → ['8002875', '8009320', '8006070']
  [1203] Candiac → ['8002875', '8009320', '8006070']
  [1204] Southdale Centre → ['8002880', '8009325', '8006073']
  [1205] Surrey → ['8011709', '8009327', '8006074']
  [1206] Maple Ridge → ['8002882', '8009327', '8006074']
  [1207] Delta → ['8011709', '8009327', '8006074']
  [1208] Coquitlam → ['8002882', '8009327', '8006074']
  [1211] Erin Mills Town Centre → ['8002874', '8009319', '8006069']
  [1212] Laurier → ['8002875', '8009320', '8006070']
  [1213] Metrotown, BC → ['8002882', '8009327', '8006074']
  [1214] Victoria Hillside Mall → ['8002882', '8009327', '8006074']
  [1400] TC Signing Warehouse → no new flyers
  [3000] Agincourt → ['8002874', '8009319', '8006069']
  [3001] Ajax → ['8011701', '8009319', '8006069']
  [3002] Baie-Comeau → ['8002875', '8009320', '8006070']
  [3003] Bathurst → ['8002876', '8009321', '8006071']
  [3004] Brandon → ['8002880', '8009325', '8006073']
  [3005] Brantford → ['8002874', '8009319', '8006069']
  [3006] Brockville → ['8002874', '8009319', '8006069']
  [3007] Brossard → ['8002875', '8009320', '8006070']
  [3008] Burnaby (Lougheed Mall) → ['8002882', '8009327', '8006074']
  [3009] Calgary → ['8002881', '8009326', '8006073']
  [3010] Calgary → ['8002881', '8009326', '8006073']
  [3011] Calgary → ['8011708', '8009326', '8006073']
  [3012] Calgary → ['8011708', '8009326', '8006073']
  [3013] Calgary → ['8011708', '8009326', '8006073']
  [3014] Cap-de-la-Madeleine → ['8002875', '8009320', '8006070']
  [3015] Carbonear → ['8002879', '8009324', '8006072']
  [3016] Chatham → ['8002874', '8009319', '8006069']
  [3017] Chicoutimi → ['8011702', '8009320', '8006070']
  [3018] Clarenville → ['8011706', '8009324', '8006072']
  [3019] Abbotsford → ['8002882', '8009327', '8006074']
  [3020] Cornwall → ['8002874', '8009319', '8006069']
  [3021] Dartmouth → ['8011704', '8009322', '8006071']
  [3022] Dauphin → ['8002880', '8009325', '8006073']
  [3023] Drummondville → ['8011702', '8009320', '8006070']
  [3024] Dryden Highway → ['8002874', '8009319', '8006069']
  [3025] Duncan → ['8002882', '8009327', '8006074']
  [3026] Edmonton (Supercentre) → ['8002881', '8009326', '8006073']
  [3027] Edmonton West → ['8011708', '8009326', '8006073']
  [3028] Edmonton → ['8011708', '8009326', '8006073']
  [3029] Edmonton (S.Common) → ['8002881', '8009326', '8006073']
  [3030] Estevan Supercentre → ['8002881', '8009326', '8006073']
  [3031] Etobicoke → ['8002874', '8009319', '8006069']
  [3032] Fredericton → ['8002876', '8009321', '8006071']
  [3033] Gander → ['8002879', '8009324', '8006072']
  [3034] Georgetown → ['8002874', '8009319', '8006069']
  [3035] Granby → ['8011702', '8009320', '8006070']
  [3036] Grand Falls (Windsor) → ['8002879', '8009324', '8006072']
  [3037] Hamilton → ['8002874', '8009319', '8006069']
  [3038] Hinton → ['8011708', '8009326', '8006073']
  [3039] Joliette (Supercentre) → ['8002875', '8009320', '8006070']
  [3040] Kamloops → ['8011709', '8009327', '8006074']
  [3041] Kapuskasing → ['8002874', '8009319', '8006069']
  [3042] Kelowna → ['8002882', '8009327', '8006074']
  [3043] Kingston → ['8002874', '8009319', '8006069']
  [3044] Kirkland → ['8002875', '8009320', '8006070']
  [3045] Kitchener → ['8002874', '8009319', '8006069']
  [3046] LaSalle → ['8002875', '8009320', '8006070']
  [3047] Laval → ['8002875', '8009320', '8006070']
  [3048] Lethbridge South → ['8011708', '8009326', '8006073']
  [3049] London → ['8002874', '8009319', '8006069']
  [3050] London North → ['8002874', '8009319', '8006069']
  [3051] Whiteoaks (London) → ['8002874', '8009319', '8006069']
  [3052] Longueuil → ['8002875', '8009320', '8006070']
  [3053] Markham → ['8011701', '8009319', '8006069']
  [3054] Mississauga (Meadowvale) → ['8002874', '8009319', '8006069']
  [3055] Mississauga (Square One) → ['8002874', '8009319', '8006069']
  [3056] Dieppe → ['8002876', '8009321', '8006071']
  [3057] North Vancouver → ['8002882', '8009327', '8006074']
  [3058] North Battleford → ['8002881', '8009326', '8006073']
  [3059] Nanaimo → ['8002882', '8009327', '8006074']
  [3060] Nelson → ['8002882', '8009327', '8006074']
  [3061] New Glasgow → ['8002877', '8009322', '8006071']
  [3062] Newmarket → ['8011701', '8009319', '8006069']
  [3063] North Bay → ['8002874', '8009319', '8006069']
  [3064] Oakville → ['8002874', '8009319', '8006069']
  [3065] Orleans → ['8002874', '8009319', '8006069']
  [3066] Ottawa West (Supercentre) → ['8002874', '8009319', '8006069']
  [3067] Owen Sound → ['8002874', '8009319', '8006069']
  [3068] Port Hawkesbury → ['8002877', '8009322', '8006071']
  [3069] Portage La Prairie → ['8002880', '8009325', '8006073']
  [3070] Penticton → ['8011709', '8009327', '8006074']
  [3071] Peterborough (Supercentre) → ['8002874', '8009319', '8006069']
  [3072] Powell River → ['8011709', '8009327', '8006074']
  [3073] Prince Albert → ['8002881', '8009326', '8006073']
  [3074] Québec → ['8002875', '8009320', '8006070']
  [3075] Red Deer → ['8002881', '8009326', '8006073']
  [3076] Regina (North) → ['8002881', '8009326', '8006073']
  [3077] Regina South → ['8002881', '8009326', '8006073']
  [3078] Renfrew → ['8002874', '8009319', '8006069']
  [3079] Repentigny → ['8002875', '8009320', '8006070']
  [3080] Rosemère → ['8002875', '8009320', '8006070']
  [3081] Bedford-Sackville → ['8011704', '8009322', '8006071']
  [3082] Sarnia → ['8002874', '8009319', '8006069']
  [3083] Saskatoon West → ['8002881', '8009326', '8006073']
  [3084] Saskatoon North Supercentre → ['8002881', '8009326', '8006073']
  [3085] Sept-Îles → ['8002875', '8009320', '8006070']
  [3086] Sherbrooke → ['8002875', '8009320', '8006070']
  [3087] St. Albert → ['8011708', '8009326', '8006073']
  [3088] St. Catharines → ['8002874', '8009319', '8006069']
  [3089] Saint-Eustache → ['8002875', '8009320', '8006070']
  [3090] Saint-Jean-sur-Richelieu → ['8002875', '8009320', '8006070']
  [3091] Saint John → ['8002876', '8009321', '8006071']
  [3092] St. John's → ['8002879', '8009324', '8006072']
  [3093] Mount Pearl → ['8002879', '8009324', '8006072']
  [3094] Saint-Léonard → ['8002875', '8009320', '8006070']
  [3095] Stephenville → ['8002879', '8009324', '8006072']
  [3096] Stoney Creek → ['8002874', '8009319', '8006069']
  [3097] Sudbury → ['8002874', '8009319', '8006069']
  [3098] Surrey → ['8011709', '8009327', '8006074']
  [3099] Swift Current → ['8002881', '8009326', '8006073']
  [3100] Sydney → ['8002877', '8009322', '8006071']
  [3101] Sydney → ['8002877', '8009322', '8006071']
  [3102] Thompson → ['8002880', '8009325', '8006073']
  [3103] Tillsonburg → ['8002874', '8009319', '8006069']
  [3104] Timmins → ['8002874', '8009319', '8006069']
  [3105] North York → ['8002874', '8009319', '8006069']
  [3106] Toronto → ['8002874', '8009319', '8006069']
  [3107] Winnipeg (Transcona) → ['8002880', '8009325', '8006073']
  [3108] Trois-Rivières → ['8011702', '8009320', '8006070']
  [3109] Victoria → ['8002882', '8009327', '8006074']
  [3110] Welland → ['8002874', '8009319', '8006069']
  [3111] Scarborough East → ['8002874', '8009319', '8006069']
  [3112] Wetaskiwin → ['8011708', '8009326', '8006073']
  [3113] Whitby → ['8011701', '8009319', '8006069']
  [3114] Windsor → ['8002874', '8009319', '8006069']
  [3115] Windsor East → ['8002874', '8009319', '8006069']
  [3116] Winnipeg → ['8002880', '8009325', '8006073']
  [3117] Winnipeg (W) → ['8002880', '8009325', '8006073']
  [3118] Winnipeg → ['8002880', '8009325', '8006073']
  [3119] Winnipeg → ['8002880', '8009325', '8006073']
  [3120] Woodstock → ['8002874', '8009319', '8006069']
  [3121] Yellowknife → no new flyers
  [3122] Belleville Suprecentre → ['8002874', '8009319', '8006069']
  [3123] Barrie → ['8002874', '8009319', '8006069']
  [3124] Thunder Bay → ['8002874', '8009319', '8006069']
  [3125] Gatineau → ['8002875', '8009320', '8006070']
  [3126] Goderich R. R. → ['8002874', '8009319', '8006069']
  [3127] Ancaster → ['8002874', '8009319', '8006069']
  [3128] New Liskeard → ['8002874', '8009319', '8006069']
