=== Walmart Flyer Fetch — 2026-09-03 ===
Run started : 2026-09-03 17:11:16 UTC

Loaded 421 stores from data/walmart/stores.parquet

Stores loaded: 421
Loaded store_flyers.parquet (8829 publication entries)

Phase 1: fetching publications per store…

  [1168] Montreal (Hochelaga) → ['8113352', '8110329']
  [1169] Pointe-aux-Trembles → ['8113352', '8110329']
  [1170] Montreal (Cote Des Neiges) → ['8113352', '8110329']
  [1172] Sherbrooke (E) (Fleurimont) → ['8113352', '8110329']
  [1173] La Pocatiere → ['8113352', '8110329']
  [1174] Sorel-Tracy → ['8113352', '8110329']
  [1175] Saint John (W) → ['8113353', '8110330']
  [1176] Dartmouth → ['8120547', '8110330']
  [1177] Greenwood → ['8120547', '8110330']
  [1178] North Sydney → ['8113354', '8110330']
  [1181] Tsawwassen → ['8113360', '8110333']
  [1182] Kingsway Mall Supercentre → ['8120552', '8110332']
  [1183] Place Viau → ['8113352', '8110329']
  [1185] Blainville → ['8113352', '8110329']
  [1186] Winnipeg (Grant Park) → ['8113357', '8111145']
  [1187] Edmonton (Ellerslie) → ['8113359', '8110332']
  [1188] Brampton South → ['8113351', '8110328']
  [1189] Ville Saint-Laurent → ['8113352', '8110329']
  [1190] Hull (Supercentre) → ['8113352', '8110329']
  [1192] New Westminster → ['8113360', '8110333']
  [1199] Guelph (South) → ['8113351', '8110328']
  [1200] Ottawa Central Supercentre → ['8113351', '8110328']
  [1201] Québec City → ['8113352', '8110329']
  [1202] Pointe Claire → ['8113352', '8110329']
  [1203] Candiac → ['8113352', '8110329']
  [1204] Southdale Centre → ['8113357', '8111145']
  [1205] Surrey → ['8120553', '8110333']
  [1206] Maple Ridge → ['8113360', '8110333']
  [1207] Delta → ['8120553', '8110333']
  [1208] Coquitlam → ['8113360', '8110333']
  [1211] Erin Mills Town Centre → ['8113351', '8110328']
  [1212] Laurier → ['8113352', '8110329']
  [1213] Metrotown, BC → ['8113360', '8110333']
  [1214] Victoria Hillside Mall → ['8113360', '8110333']
  [1400] TC Signing Warehouse → no new flyers
