=== Food Basics Flyer Fetch — 2026-09-03 ===
Run started : 2026-09-03 17:12:39 UTC

Loaded 153 stores from data/food_basics/stores.parquet

Stores loaded: 153
Loaded store_flyers.parquet (2907 flyer entries)

Phase 1: fetching flyer listings per store…

  [320] TORONTO 672 → ['83440', '206432']
  [601] WINDSOR 601 → ['83440', '206432']
  [606] SCARBOROUGH 606 → ['83440', '206432']
  [607] HANMER 607 → ['83440', '206432']
  [609] NORTH BAY 609 → ['83440', '206432']
  [610] SUDBURY 610 → ['83440', '206432']
  [611] STRATFORD 611 → ['83440', '206432']
  [612] LONDON 612 → ['83440', '206432']
  [616] GRIMSBY 616 → ['83440', '206432']
  [620] BURLINGTON 620 → ['83440', '206432']
  [621] HAMILTON 621 → ['83440', '206432']
  [623] STRATHROY 623 → ['83440', '206432']
  [627] MISSISSAUGA 627 → ['83440', '206432']
  [628] SCARBOROUGH 628 → ['83440', '206432']
  [629] TORONTO 629 → ['83440', '206432']
  [630] MISSISSAUGA 630 → ['83440', '206432']
  [631] TORONTO 631 → ['83440', '206432']
  [632] GODERICH 632 → ['83440', '206432']
  [633] CAMBRIDGE  633 → ['83440', '206432']
  [634] OTTAWA 634 → ['83440', '206432']
  [635] OAKVILLE 635 → ['83440', '206432']
  [636] OSHAWA 636 → ['83440', '206432']
  [638] SUDBURY 638 → ['83440', '206432']
  [640] KINGSTON 640 → ['83440', '206432']
  [641] ROCKLAND 641 → ['83440', '206432']
  [642] TIMMINS 642 → ['83440', '206432']
  [643] NEW LISKEARD 643 → ['83440', '206432']
  [646] Porcupine (Timmins) 646 → ['83440', '206432']
  [648] TORONTO (Emerald) → ['83440', '206432']
  [650] MIDLAND 650 → ['83440', '206432']
  [651] FONTHILL 651 → ['83440', '206432']
  [652] Port Hope 652 → ['83440', '206432']
  [653] SCARBOROUGH 653 → ['83440', '206432']
  [654] WATERLOO 654 → ['83440', '206432']
  [655] MISSISSAUGA 655 → ['83440', '206432']
  [656] BURLINGTON 656 → ['83440', '206432']
  [657] BURLINGTON 657 → ['83440', '206432']
  [658] WELLAND 658 → ['83440', '206432']
  [659] SAULT STE. MARIE 659 → ['83440', '206432']
  [660] BRAMPTON 660 → ['83440', '206432']
  [661] MARKHAM 661 → ['83440', '206432']
  [662] STITTSVILLE 662 → ['83440', '206432']
  [663] ORLEANS 663 → ['83440', '206432']
  [666] OAKVILLE 666 → ['83440', '206432']
  [668] CORNWALL 668 → ['83440', '206432']
  [669] MISSISSAUGA 669 → ['83440', '206432']
  [670] LONDON 670 → ['83440', '206432']
  [673] THORNHILL 673 → ['83440', '206432']
  [674] NIAGARA FALLS 674 → ['83440', '206432']
  [675] LONDON 675 → ['83440', '206432']
  [676] BRANTFORD 676 → ['83440', '206432']
  [677] WOODSTOCK 677 → ['83440', '206432']
  [678] GUELPH 678 → ['83440', '206432']
  [679] THORNHILL 679 → ['83440', '206432']
  [681] LONDON 681 → ['83440', '206432']
  [682] BRANTFORD 682 → ['83440', '206432']
  [684] PORT PERRY 684 → ['83440', '206432']
  [685] GEORGETOWN 685 → ['83440', '206432']
  [687] HAMILTON 687 → ['83440', '206432']
  [689] ETOBICOKE 689 → ['83440', '206432']
  [690] KITCHENER 690 → ['83440', '206432']
  [691] GUELPH 691 → ['83440', '206432']
  [692] NORTH YORK 692 → ['83440', '206432']
  [693] CHATHAM 693 → ['83440', '206432']
  [694] CAMBRIDGE 694 → ['83440', '206432']
  [695] HAMILTON 695 → ['83440', '206432']
  [696] HANOVER 696 → ['83440', '206432']
  [697] SUDBURY 697 → ['83440', '206432']
  [811] PORT ELGIN 811 → ['83440', '206432']
